X,Y
1,0.6266518062290517
2,0.051587437082222125
3,0.0025524060832733744
4,0.0010616995109001108
5,0.0002983735896792332
6,0.0002983735896792332
7,0.00010506000854086019
8,3.097098566474641e-05
9,3.097098566474641e-05
10,3.097098566474641e-05
11,3.097098566474641e-05
12,1.228140462659631e-05
13,1.2281404569114376e-05
14,9.567994218760547e-06
15,3.075809259457909e-06
16,3.075809259457909e-06
17,3.075809259457909e-06
18,3.075809259457909e-06
19,3.075809259457909e-06
20,3.075809259457909e-06
21,3.075809259457909e-06
22,3.075809259457909e-06
23,1.2748019967722883e-06
24,1.2748018584424013e-06
25,1.2748017721228127e-06
26,1.2748017721228127e-06
27,1.0491518238523823e-06
28,1.0491518186668809e-06
29,8.748629749626893e-07
30,5.186621546750024e-07
31,5.186621521038592e-07
32,3.179311200878965e-07
33,3.179311151825394e-07
34,3.12499052171626e-07
35,3.12499052171626e-07
36,2.923251458636288e-07
37,2.923251458636288e-07
38,2.923251458636288e-07
39,2.923251458636288e-07
40,2.923251458636288e-07
41,2.923251458636288e-07
42,2.923251458636288e-07
43,2.923251458636288e-07
44,2.923251458636288e-07
45,2.923251458636288e-07
46,2.923251458636288e-07
47,2.923251458636288e-07
48,2.923251458636288e-07
49,2.923251458636288e-07
50,2.923251458636288e-07
51,2.923251458636288e-07
52,1.2684584502937287e-07
53,1.2684584502937287e-07
54,1.2660389624064628e-07
55,1.2660389624064628e-07
56,1.26603893160355e-07
57,1.2660389210822335e-07
58,1.2660389210822335e-07
59,1.2660386641044776e-07
60,1.2660364404090787e-07
61,1.2660364404090787e-07
62,1.2483918165026605e-07
63,1.2483918165026605e-07
64,1.2483918165026605e-07
65,1.1688441854248889e-07
66,1.0236985244522565e-07
67,1.0236985244522565e-07
68,7.915377699161521e-08
69,7.915377699161521e-08
70,6.156350408250513e-08
71,6.156349512641854e-08
72,5.1598312892862773e-08
73,5.1598312892862773e-08
74,4.451962438182805e-08
75,4.451962219635561e-08
76,4.4519603819662044e-08
77,4.4519602637554284e-08
78,3.873917996238636e-08
79,3.873917996238636e-08
80,3.727947988116031e-08
81,3.727947988116031e-08
82,3.727947988116031e-08
83,3.727947988116031e-08
84,2.7226357786528917e-08
85,2.7226357786528917e-08
86,2.7226357786528917e-08
87,2.7226357786528917e-08
88,2.7226357786528917e-08
89,2.7226357786528917e-08
90,2.7226357786528917e-08
91,2.7226357786528917e-08
92,2.7226357786528917e-08
93,2.7226357786528917e-08
94,2.7226357786528917e-08
95,2.7226357786528917e-08
96,2.7226357786528917e-08
97,2.7226357786528917e-08
98,2.7226357786528917e-08
99,2.7226357786528917e-08
100,2.7226357786528917e-08
101,2.7226357786528917e-08
102,2.7226357786528917e-08
103,2.7226357786528917e-08
104,2.7226357786528917e-08
105,2.7226357786528917e-08
106,2.7226357786528917e-08
107,2.7226357786528917e-08
108,2.7226357786528917e-08
109,2.7226357786528917e-08
110,2.7226357786528917e-08
111,2.7226357786528917e-08
112,2.7226357786528917e-08
113,2.7226357786528917e-08
114,2.7226357786528917e-08
115,2.7226357786528917e-08
116,2.4875023856040064e-08
117,2.4875023856040064e-08
118,2.4875023856040064e-08
119,2.4617279907813697e-08
120,2.4617279907813697e-08
121,2.307403025567799e-08
122,2.307403025567799e-08
123,2.307403025567799e-08
124,2.307403025567799e-08
125,1.7528084969943387e-08
126,1.7389511563798522e-08
127,1.7389511563798522e-08
128,1.3752001481478463e-08
129,1.375200114240006e-08
130,1.3750709895629241e-08
131,1.3750709895629241e-08
132,1.3750709895629241e-08
133,1.3750709895629241e-08
134,1.327512317645348e-08
135,1.327512317645348e-08
136,1.327512317645348e-08
137,1.327512317645348e-08
138,1.2678880679861284e-08
139,1.252613791999413e-08
140,1.2032834456633813e-08
141,1.2032834456633813e-08
142,1.2032776862624487e-08
143,1.2032776862624487e-08
144,1.2032756770550828e-08
145,1.2032756770550828e-08
146,1.2032660498400483e-08
147,1.2032660498400483e-08
148,1.2032555959745467e-08
149,1.2032443631280717e-08
150,1.2032431928928511e-08
151,1.2032431928928511e-08
152,1.20323706570223e-08
153,1.20323706570223e-08
154,1.2032298979582837e-08
155,1.2032298979582837e-08
156,1.1940221651504152e-08
157,1.1940221651504152e-08
158,1.1091113846979236e-08
159,1.1091113846979236e-08
160,1.0786435754554447e-08
161,1.0786435754554447e-08
162,1.0645548496919793e-08
163,1.0645548496919793e-08
164,1.0053901550647981e-08
165,1.0053901550647981e-08
166,8.970808728775144e-09
167,8.970805423108102e-09
168,8.94444577392201e-09
169,8.94444577392201e-09
170,8.94444577392201e-09
171,8.94444577392201e-09
172,8.94444577392201e-09
173,8.94444577392201e-09
174,8.94444577392201e-09
175,7.3595360757505e-09
176,7.3595360757505e-09
177,5.894638830529994e-09
178,5.894638830529994e-09
179,5.705341047564893e-09
180,5.052008572178617e-09
181,5.005157667977367e-09
182,5.005157667977367e-09
183,4.874552021075981e-09
184,4.874552021075981e-09
185,4.794488995577925e-09
186,4.349974059324358e-09
187,4.349974059324358e-09
188,4.349974059324358e-09
189,4.349974059324358e-09
190,4.349974059324358e-09
191,4.349974059324358e-09
192,4.349974059324358e-09
193,3.7129370895789223e-09
194,3.7129370895789223e-09
195,3.7129370895789223e-09
196,3.7129370895789223e-09
197,3.681102489397355e-09
198,3.681102489397355e-09
199,3.681102489397355e-09
200,3.681102489397355e-09
201,3.4791492993615408e-09
202,3.4791487169499043e-09
203,3.4791468222087346e-09
204,3.4791462746623957e-09
205,3.4791263219263584e-09
206,3.479126226845557e-09
207,3.4791189492192225e-09
208,3.479118228742546e-09
209,3.335712146183441e-09
210,3.335712146183441e-09
211,3.335712146183441e-09
212,3.318826366719838e-09
213,3.318826366719838e-09
214,2.9029710841095187e-09
215,2.9029710841095187e-09
216,2.9029710841095187e-09
217,2.9029710841095187e-09
218,2.9029710841095187e-09
219,2.9029710841095187e-09
220,2.9029710841095187e-09
221,2.9029710841095187e-09
222,2.9029710841095187e-09
223,2.9029710841095187e-09
224,2.9029710841095187e-09
225,2.9029710841095187e-09
226,2.9029710841095187e-09
227,2.9029710841095187e-09
228,2.9029710841095187e-09
229,2.9029710841095187e-09
230,2.9029710841095187e-09
231,2.9029710841095187e-09
232,2.9029710841095187e-09
233,2.9029710841095187e-09
234,2.9029710841095187e-09
235,2.9029710841095187e-09
236,2.9029710841095187e-09
237,2.9029710841095187e-09
238,2.9029710841095187e-09
239,2.9029710841095187e-09
240,2.9029710841095187e-09
241,2.9029710841095187e-09
242,2.9029710841095187e-09
243,2.9029710841095187e-09
244,2.9029710841095187e-09
245,2.9029710841095187e-09
246,2.9029710841095187e-09
247,2.9029710841095187e-09
248,2.9029710841095187e-09
249,2.9029710841095187e-09
250,2.9029710841095187e-09
251,2.9029710841095187e-09
252,2.9029710841095187e-09
253,2.9029710841095187e-09
254,2.9029710841095187e-09
255,2.9029710841095187e-09
256,2.9029710841095187e-09
257,2.9029710841095187e-09
258,2.9029710841095187e-09
259,2.9029710841095187e-09
260,2.9029710841095187e-09
261,2.9029710841095187e-09
262,2.9029710841095187e-09
263,2.9029710841095187e-09
264,2.9029710841095187e-09
265,2.9029710841095187e-09
266,2.9029710841095187e-09
267,2.9029710841095187e-09
268,2.9029710841095187e-09
269,2.9029710841095187e-09
270,2.9029710841095187e-09
271,2.9029710841095187e-09
272,2.9029710841095187e-09
273,2.9029710841095187e-09
274,2.9029710841095187e-09
275,2.9029710841095187e-09
276,2.9029710841095187e-09
277,2.9029710841095187e-09
278,2.8286942128613733e-09
279,2.8286942128613733e-09
280,2.8286942128613733e-09
281,2.8286942128613733e-09
282,2.728808992127238e-09
283,2.728808992127238e-09
284,2.728808992127238e-09
285,2.728808992127238e-09
286,2.728808992127238e-09
287,2.728808992127238e-09
288,2.728808992127238e-09
289,2.728808992127238e-09
290,2.6466521355542018e-09
291,2.646651554192109e-09
292,2.643656497497153e-09
293,2.643656497497153e-09
294,2.643656497497153e-09
295,2.643656497497153e-09
296,2.588329827910597e-09
297,2.588329700003324e-09
298,2.4059895682465217e-09
299,2.4059895682465217e-09
300,2.4059895682465217e-09
301,2.4059895682465217e-09
302,2.4059895682465217e-09
303,2.4059895682465217e-09
304,2.4059895682465217e-09
305,2.3366404485205234e-09
306,2.3366404485205234e-09
