X,Y
49,1.0375186442229544e-06
50,1.0375186442229544e-06
51,5.955777286366799e-07
52,5.955777286366799e-07
53,5.861558668706071e-07
54,5.861558668706071e-07
55,5.861558668706071e-07
56,5.488059659536657e-07
57,4.806559031246168e-07
58,4.806559031246168e-07
59,4.203337637926702e-07
60,4.203337637926702e-07
61,4.2033375356588123e-07
62,4.20333750072736e-07
63,4.20333750072736e-07
64,4.203336647543173e-07
65,4.203329264719432e-07
67,3.7164975094583147e-07
68,3.7164975094583147e-07
69,2.956165147315808e-07
70,2.9561650021974036e-07
71,2.9561637819593226e-07
73,2.8905835993195144e-07
74,2.890583178805486e-07
75,2.475409455155468e-07
77,2.475409455155468e-07
78,2.475409455155468e-07
79,2.4226892088660533e-07
81,1.9843722327326517e-07
82,1.9843722327326517e-07
84,1.9843722327326517e-07
85,1.9843722327326517e-07
86,1.9843722327326517e-07
88,1.9843722327326517e-07
90,1.9843722327326517e-07
91,1.9843722327326517e-07
93,1.9843722327326517e-07
94,1.9843722327326517e-07
96,1.9843722327326517e-07
98,1.9843722327326517e-07
99,1.9843722327326517e-07
101,1.9843722327326517e-07
103,1.9843722327326517e-07
105,1.9843722327326517e-07
107,1.9843722327326517e-07
108,1.9843722327326517e-07
110,1.9843722327326517e-07
112,1.9843722327326517e-07
114,1.8189159294814134e-07
116,1.6517362754724953e-07
118,1.6346217178530576e-07
120,1.5321477886904183e-07
122,1.5321477886904183e-07
125,1.291270764901176e-07
127,1.291270764901176e-07
129,1.1638892871811125e-07
131,1.1546878197545971e-07
134,8.814866927892276e-08
136,8.399349141807247e-08
138,8.399349141807247e-08
141,8.399349141807247e-08
143,7.928473698401123e-08
146,7.364654274292377e-08
148,7.162343771793004e-08
151,6.675930844264176e-08
153,5.9567421054132326e-08
156,5.6497618925425064e-08
159,5.649725416692252e-08
162,5.649680214148961e-08
165,5.649572894206475e-08
167,5.649544125284187e-08
170,5.649510470664693e-08
173,4.886834592527923e-08
176,4.620404022279254e-08
179,4.6203766710625265e-08
183,4.577484773208718e-08
186,4.159649254243019e-08
189,4.0848758889673135e-08
192,4.0848758889673135e-08
196,3.6239344550720105e-08
199,3.6239344550720105e-08
203,3.6239344550720105e-08
206,3.486661526627431e-08
210,3.4567670056617306e-08
213,3.323494494920827e-08
217,3.195221255891314e-08
221,3.132425603613056e-08
225,3.116568885283999e-08
229,3.1031236905692584e-08
233,2.9922047066954136e-08
237,2.9922047066954136e-08
241,2.9922047066954136e-08
245,2.9922047066954136e-08
249,2.9922047066954136e-08
254,2.9922047066954136e-08
258,2.9922047066954136e-08
263,2.9922047066954136e-08
267,2.9922047066954136e-08
272,2.9922047066954136e-08
277,2.9922047066954136e-08
282,2.9922047066954136e-08
287,2.9922047066954136e-08
292,2.9922047066954136e-08
297,2.679125164678642e-08
302,2.4825455366083817e-08
307,2.452168055448515e-08
313,2.452168055448515e-08
318,2.03675553000232e-08
324,1.7899999451458705e-08
329,1.7634281383889087e-08
335,1.759024349688741e-08
341,1.609847163844634e-08
347,1.5422543059209253e-08
353,1.53316542565947e-08
359,1.3874933414267463e-08
365,1.2781451834689495e-08
372,1.1991196360996493e-08
378,1.183930803282199e-08
385,1.183930803282199e-08
392,1.183930803282199e-08
398,1.183930803282199e-08
405,1.183930803282199e-08
412,1.183930803282199e-08
420,1.183930803282199e-08
427,1.183930803282199e-08
434,1.183930803282199e-08
442,1.183930803282199e-08
450,1.183930803282199e-08
458,1.183930803282199e-08
466,1.183930803282199e-08
474,1.183930803282199e-08
482,1.183930803282199e-08
490,1.183930803282199e-08
499,1.183930803282199e-08
