X,Y
1,0.6266518064256473
2,0.01939503432996017
3,0.0019687666979788963
4,0.000502206224547199
5,0.0002635771592799071
6,0.0002635771592799071
7,8.195707708236613e-05
8,5.345645908595766e-05
9,5.345645908595766e-05
10,5.345645908595766e-05
11,5.345645908595766e-05
12,2.4738690542555875e-05
13,1.4164777721817338e-05
14,1.0976587705153182e-05
15,1.0976587705153182e-05
16,1.0976587705153182e-05
17,1.0976587705153182e-05
18,1.0976587705153182e-05
19,1.0976587705153182e-05
20,1.0976587705153182e-05
21,1.0976587705153182e-05
22,1.0713316092848663e-05
23,1.0698451100222645e-05
24,6.5036773785803454e-06
25,3.209617431985432e-06
26,3.209451771806337e-06
27,2.1399294514456535e-06
28,2.1399294514456535e-06
29,2.1399294514456535e-06
30,2.1399294514456535e-06
31,2.1399294514456535e-06
32,2.1399294514456535e-06
33,2.1399294514456535e-06
34,2.1399294514456535e-06
35,2.1399294514456535e-06
36,2.1399294514456535e-06
37,2.1399294514456535e-06
38,2.1399294514456535e-06
39,2.1399294514456535e-06
40,2.1399294514456535e-06
41,2.1399294514456535e-06
42,2.1399294514456535e-06
43,2.0097994819275933e-06
44,2.0083756673878988e-06
45,2.0083756673878988e-06
46,2.0067001753710937e-06
47,1.7710176836080559e-06
48,1.4625960532942008e-06
49,7.29521787630152e-07
50,7.285961290270185e-07
51,5.440998023950237e-07
52,4.417945028223911e-07
53,4.416609078404081e-07
54,4.1724618438507847e-07
55,4.1724618438507847e-07
56,3.9783858578125864e-07
57,3.9783858578125864e-07
58,3.9783858578125864e-07
59,3.9783858578125864e-07
60,3.9783858578125864e-07
61,3.9783858578125864e-07
62,3.9783858578125864e-07
63,3.9783858578125864e-07
64,3.9783858578125864e-07
65,3.9783858578125864e-07
66,3.9783858578125864e-07
67,3.9783858578125864e-07
68,3.9783858578125864e-07
69,3.9783858578125864e-07
70,3.9783858578125864e-07
71,3.9783858578125864e-07
72,3.9783858578125864e-07
73,3.9783858578125864e-07
74,3.9783858578125864e-07
75,3.9783858578125864e-07
76,3.9783858578125864e-07
77,3.9783858578125864e-07
78,3.9783858578125864e-07
79,3.9783858578125864e-07
80,3.9783858578125864e-07
81,3.9783858578125864e-07
82,3.9783858578125864e-07
83,3.9783858578125864e-07
84,3.9783858578125864e-07
85,3.9783858578125864e-07
86,3.9783858578125864e-07
87,3.9783858578125864e-07
88,3.048915698854783e-07
89,2.9777612755947833e-07
90,2.977539734920966e-07
91,2.977539734920966e-07
92,2.9764556677036125e-07
93,2.9764556677036125e-07
94,2.9749815237354405e-07
95,2.9749815237354405e-07
96,2.973138665102633e-07
97,2.7652239954173327e-07
98,2.76272365428143e-07
99,2.7128994158099614e-07
100,2.707942662069154e-07
101,1.3018279360437186e-07
102,1.2713683156465406e-07
103,1.0309795661908055e-07
104,1.0303216666556792e-07
105,1.0292595040179332e-07
106,1.0291621292417974e-07
107,7.848309977021839e-08
108,7.192192997557923e-08
109,7.192192997557923e-08
110,7.192192997557923e-08
111,7.192192997557923e-08
112,7.192192997557923e-08
113,7.192192997557923e-08
114,7.192192997557923e-08
115,7.192192997557923e-08
116,7.192192997557923e-08
117,7.192192997557923e-08
118,7.192192997557923e-08
119,7.192192997557923e-08
120,7.192192997557923e-08
121,7.192192997557923e-08
122,7.192192997557923e-08
123,7.192192997557923e-08
124,7.192192997557923e-08
125,7.192192997557923e-08
126,7.192192997557923e-08
127,7.192192997557923e-08
128,7.192192997557923e-08
129,7.192192997557923e-08
130,7.192192997557923e-08
131,7.192192997557923e-08
132,7.192192997557923e-08
133,7.192192997557923e-08
134,7.192192997557923e-08
135,7.192192997557923e-08
136,7.192192997557923e-08
137,7.192192997557923e-08
138,7.192192997557923e-08
139,7.192192997557923e-08
140,7.192192997557923e-08
141,7.192192997557923e-08
142,7.192192997557923e-08
143,7.192192997557923e-08
144,7.192192997557923e-08
145,7.192192997557923e-08
146,7.192192997557923e-08
147,7.192192997557923e-08
148,7.192192997557923e-08
149,7.192192997557923e-08
150,7.192192997557923e-08
151,7.192192997557923e-08
152,7.192192997557923e-08
153,7.192192997557923e-08
154,7.192192997557923e-08
155,7.192192997557923e-08
156,7.192192997557923e-08
157,7.192192997557923e-08
158,7.192192997557923e-08
159,7.192192997557923e-08
160,7.192192997557923e-08
161,7.192192997557923e-08
162,7.192192997557923e-08
163,7.192192997557923e-08
164,7.192192997557923e-08
165,7.192192997557923e-08
166,7.192192997557923e-08
167,7.192192997557923e-08
168,7.192192997557923e-08
169,7.192192997557923e-08
170,7.192192997557923e-08
171,7.192192997557923e-08
172,7.062214252236017e-08
173,6.695828151512388e-08
174,6.695828151512388e-08
175,6.260186559103313e-08
176,6.260186559103313e-08
177,5.9042545621022976e-08
178,5.902471019178883e-08
179,5.5122414003619857e-08
180,5.5122414003619857e-08
181,5.261439474526007e-08
182,5.2513465885494584e-08
183,4.527521825960244e-08
184,3.9031585775247784e-08
185,3.9031585775247784e-08
186,3.819684947255485e-08
187,3.819684947255485e-08
188,3.502246147912369e-08
189,3.498557403003953e-08
190,3.498557403003953e-08
191,3.497881846570695e-08
192,3.497881846570695e-08
193,3.497794755722966e-08
194,3.497794755722966e-08
195,3.496642894768423e-08
196,3.496642894768423e-08
197,3.496356791104427e-08
198,3.496356791104427e-08
199,3.4960692897358575e-08
200,3.4960692897358575e-08
201,3.495579742995883e-08
202,3.4878323935108396e-08
203,3.4878323935108396e-08
204,3.4393469420041716e-08
205,3.4393469420041716e-08
