X,Y
49,1.2229305678951978e-05
50,1.222930559005322e-05
51,1.0695190293844659e-05
52,1.0695190293844659e-05
53,1.0410526840263227e-05
54,1.0410526840263227e-05
55,1.0410526840263227e-05
56,1.0410526667812423e-05
57,1.0208876167209441e-05
58,1.0208876167209441e-05
59,1.0208876167209441e-05
60,1.0208876144771398e-05
61,9.298974414738841e-06
62,9.298974414738841e-06
63,8.145422120936513e-06
64,8.145422120936513e-06
65,7.182875000676736e-06
67,7.094036034426632e-06
68,7.094036034426632e-06
69,7.094036034426632e-06
70,7.094035953684156e-06
71,7.040282921627987e-06
73,7.040282510609584e-06
74,7.040282510609584e-06
75,6.838650834080908e-06
77,6.838650834080908e-06
78,6.838650415452062e-06
79,6.734761844901708e-06
81,6.444665682558883e-06
82,6.44466567216984e-06
84,6.44466567216984e-06
85,6.372696510419072e-06
86,6.372696510419072e-06
88,5.684630160100921e-06
90,5.237585736981623e-06
91,5.237585736981623e-06
93,5.217129688530623e-06
94,5.217129602837492e-06
96,5.217129602837492e-06
98,5.096516835912956e-06
99,4.709437249132388e-06
101,4.709437209727478e-06
103,4.590491320881082e-06
105,4.240339056845952e-06
107,4.240339024212725e-06
108,4.240339024212725e-06
110,4.151956260820027e-06
112,4.122781921972357e-06
114,4.096566803794468e-06
116,4.096566803794468e-06
118,4.0940624431934095e-06
120,4.0940624431934095e-06
122,4.039065270065158e-06
125,3.770112723570197e-06
127,3.6256820260947738e-06
129,3.625681971816648e-06
131,3.43575835484654e-06
134,3.3198634718477694e-06
136,3.3198632916974983e-06
138,3.250967935719559e-06
141,3.244401677918692e-06
143,3.244401677918692e-06
146,3.1414694312375983e-06
148,2.9461499313167175e-06
151,2.8982289973740875e-06
153,2.89822895050967e-06
156,2.8814376401286006e-06
159,2.7625422411901534e-06
162,2.7264466046273777e-06
165,2.680499966998864e-06
167,2.6792127652587967e-06
170,2.679212509571515e-06
173,2.5892823005865242e-06
176,2.5892822737791686e-06
179,2.383254278215956e-06
183,2.346353282855489e-06
186,2.3463531687682026e-06
189,2.339566491133599e-06
192,2.2609948574001976e-06
196,2.26061152716843e-06
199,2.1387398170938066e-06
203,2.1224563869766383e-06
206,2.0958225294085793e-06
210,2.0256847751472477e-06
213,2.0034934061763527e-06
217,1.9405060725092856e-06
221,1.912773732513182e-06
225,1.9092028176096713e-06
229,1.8682875322823841e-06
233,1.7792835011377466e-06
237,1.7723178074168385e-06
241,1.7447057379483533e-06
245,1.7142418003530832e-06
249,1.6915809129428642e-06
254,1.6893062090323287e-06
258,1.6081322958698838e-06
263,1.5812685281702396e-06
267,1.5679405610400847e-06
272,1.5186551896372857e-06
277,1.488078123491841e-06
282,1.480816533319654e-06
287,1.4563671665480268e-06
292,1.396629162201876e-06
297,1.3638414132347213e-06
302,1.3626815309312975e-06
307,1.3400483460798057e-06
313,1.3154124651402553e-06
318,1.30737057666786e-06
324,1.2604941423431953e-06
329,1.244123740470632e-06
335,1.2285480700383169e-06
341,1.1781544483549917e-06
347,1.1603319404557395e-06
353,1.1534142627767653e-06
359,1.137638344365043e-06
365,1.0730185711941258e-06
372,1.0573395470764718e-06
378,1.0421506891526158e-06
385,1.0388212690746199e-06
392,1.031362754576532e-06
398,1.0218944707218785e-06
405,9.806499102048528e-07
412,9.759022852379262e-07
420,9.370569346841486e-07
427,9.265703977754973e-07
434,9.12404300742753e-07
442,8.92595558328646e-07
450,8.561474503800915e-07
458,8.473722968435122e-07
466,8.255550472437511e-07
474,8.204990950995059e-07
482,8.144657518550164e-07
490,7.959033962110806e-07
499,7.918635187307434e-07
