X,Y
1,0.6266518064256473
2,0.01012015080178776
3,0.01012015080178776
4,0.0022907684245323735
5,0.0022907684245323735
6,0.0011164898731962452
7,0.0011164898731962452
8,0.0006873482488146391
9,0.0006809820296936541
10,0.0006809820296936541
11,0.0004630855475400497
12,0.0004630855475400497
13,0.00040237072557750816
14,0.0004023645066288397
15,0.00033653127873771227
16,0.00033653127873771227
17,0.00025595889253749354
18,0.00025595889253749354
19,0.00020132617304983706
20,0.00020132617304983706
21,0.0001625206671492333
22,0.0001625206671492333
23,0.0001532319067789316
24,0.00015322247445094677
25,0.00015322247445094677
26,0.00015322247445094677
27,0.0001339443493792351
28,0.0001339443493792351
29,0.00011229404862402494
30,0.00011229404862402494
31,9.549206521424915e-05
32,9.549206521424915e-05
33,8.219604820811304e-05
34,8.219604820811304e-05
35,7.148941650135937e-05
36,7.148941650135937e-05
37,6.274499974921197e-05
38,6.274499974921197e-05
39,5.7899128209878514e-05
40,5.7899128209878514e-05
41,5.7899128209878514e-05
42,5.7898776066954136e-05
43,5.550791346614054e-05
44,5.550791346614054e-05
45,4.945398421912972e-05
46,4.945398421912972e-05
47,4.43372060781084e-05
48,4.43372060781084e-05
49,3.9975284060752475e-05
50,3.9975284060752475e-05
51,3.622601287032225e-05
52,3.622601287032225e-05
53,3.298010548060443e-05
54,3.298010548060443e-05
55,3.0151383430333318e-05
56,3.0151383430333318e-05
57,2.858960574379004e-05
58,2.858819102796839e-05
59,2.858819102796839e-05
60,2.858819102796839e-05
61,2.7935614421575934e-05
62,2.7670831930021604e-05
63,2.7670831930021604e-05
64,2.7081103973350678e-05
65,2.7079351163183174e-05
66,2.5484373182173093e-05
67,2.5484373182173093e-05
68,2.354653311069989e-05
69,2.354653311069989e-05
70,2.1822057372267367e-05
71,2.1822057372267367e-05
72,2.0695754118906892e-05
73,2.069502564632386e-05
74,2.0279782873876515e-05
75,2.0279782873876515e-05
76,1.8895823682131197e-05
77,1.8895823682131197e-05
78,1.7648299902959496e-05
79,1.7648299902959496e-05
80,1.6520646213232736e-05
81,1.6520646213232736e-05
82,1.6447773505196377e-05
83,1.6447510422369027e-05
84,1.6447510422369027e-05
85,1.6447510422369027e-05
86,1.5497388789648504e-05
87,1.5497388789648504e-05
88,1.4566500578634908e-05
89,1.4566500578634908e-05
90,1.371688590008555e-05
91,1.371688590008555e-05
92,1.2939477688223027e-05
93,1.2939477688223027e-05
94,1.2928610917174578e-05
95,1.2928346828084897e-05
96,1.2928346828084897e-05
97,1.2928346828084897e-05
98,1.2226357978124643e-05
99,1.2226357978124643e-05
100,1.1570500653434476e-05
101,1.1570500653434476e-05
102,1.1135616370585884e-05
103,1.1135413708251883e-05
104,1.0966122569968967e-05
105,1.0966122569968967e-05
106,1.0904875748015124e-05
107,1.0444763109063263e-05
108,1.0444763109063263e-05
109,1.0444763109063263e-05
110,1.0444574622891999e-05
111,1.040776547405119e-05
112,1.040776547405119e-05
113,9.891147919494359e-06
114,9.891147919494359e-06
115,9.41188385132929e-06
116,9.41188385132929e-06
117,8.96674596619782e-06
118,8.96674596619782e-06
119,8.55230346667348e-06
120,8.55230346667348e-06
121,8.391653829050447e-06
122,8.166050801576033e-06
123,8.166050801576033e-06
124,7.805299804610619e-06
125,7.805299804610619e-06
126,7.468013051786334e-06
127,7.468013051786334e-06
128,7.152071915071907e-06
129,7.152071915071907e-06
130,7.108593086361814e-06
131,7.108593086361814e-06
132,7.108593086361814e-06
133,7.108058636117526e-06
134,6.8557889957660164e-06
135,6.8557889957660164e-06
136,6.5775407320246005e-06
137,6.5775407320246005e-06
138,6.315850022786956e-06
139,6.315850022786956e-06
140,6.1259961573647474e-06
141,6.125897396803955e-06
