Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
1	3.782867677	3.866472361	4.706164881	16.7869588	6.11643933	9.846827831	13.16476583	8.75448103	13.4954316	9.715070763	27.79832774	15.19281726
2	3.795895398	4.096280547	4.67357477	15.50818632	6.154389428	8.057006616	12.65347379	6.782605356	12.85731665	7.975928271	28.4328145	13.67510839
3	3.877843398	3.277201346	4.47605046	14.54966864	5.930055014	6.284986691	12.1092773	5.433896353	11.7130403	7.022793344	28.53800098	12.78576865
4	3.878639993	3.453842328	4.498279754	13.73915628	5.741651541	5.42754292	11.02626479	4.570425597	11.39794641	5.973858151	28.97397609	11.92928968
5	3.903222199	3.708145337	4.47776409	12.95745803	5.643570047	4.598044232	9.435944926	4.872965435	10.44886337	5.946662732	29.1828009	11.31035746
6	3.907237692	3.59059713	3.264856184	12.77080385	5.443279875	3.883217064	9.047494856	5.440995605	10.13871274	4.898547398	6.559744511	24.05375585
7	3.902880161	3.694626944	3.2367595	12.04616176	4.87465125	3.460077013	8.877379178	3.54847859	10.042513	4.3880894	6.569307774	22.62364376
8	3.899794926	3.652599094	3.137952156	11.05024058	4.976342994	3.955465997	8.590478187	3.186530733	9.648215314	3.990932272	6.454593572	21.40671223
9	2.617871621	3.868635427	3.12295659	10.50227878	4.779620221	3.132545677	8.600352061	2.881956875	9.46965504	3.734741751	6.408405667	20.30251589
10	2.619705126	3.613676562	3.099801052	10.23030961	4.618225509	3.143771344	8.250990475	2.516887299	8.973052104	3.404132859	6.282694707	18.69263461
11	2.60264727	3.451104472	3.108869353	9.911305564	4.477760632	2.713187453	8.089984813	2.240947573	8.787254011	3.01139687	6.261281615	18.06156702
12	2.580449056	3.275351535	3.104260008	9.640030352	4.508260914	2.510688838	7.824618252	2.198245669	8.506659967	3.02023031	6.146089606	17.55228077
13	2.568390438	3.213377889	3.093728963	9.372518536	4.455450751	2.3396045	7.745112331	2.264339858	8.385247857	2.969522426	6.101904168	17.10507249
14	2.558779867	3.142921398	3.070373561	9.101219373	4.421214955	2.159856105	7.624562496	2.057542495	8.260606713	2.814393119	6.075018606	16.70792866
15	2.554748736	3.091869454	3.019865753	8.901857202	4.392753661	2.009646965	7.415265275	2.121217779	8.130562313	2.58348588	6.001689327	16.2868631
16	2.558104428	3.02348747	3.024627588	8.705361437	4.371110747	1.885316703	7.308269888	2.123309512	7.975018129	2.617827612	6.029157473	15.97284642
17	2.555336822	2.962587957	2.964843473	8.563034613	4.383749739	1.809228334	7.365170177	2.350915437	7.921088817	2.536694992	6.003141177	15.21785821
18	2.549386798	2.892582836	2.887564362	8.242652405	4.311730641	1.744451461	6.974127158	2.936411497	7.772962141	2.517454274	5.980563358	14.83671789
19	2.509858792	2.838535836	2.891190185	8.090590215	4.084931815	2.077788913	6.774679129	2.807205867	7.72621809	2.378979077	5.771923748	14.44662051
20	2.507521187	2.779926893	2.862375337	8.036042804	3.948099504	1.921175715	6.486251091	2.138096743	6.420664797	2.629029752	5.556909916	14.03042112
21	2.493971188	2.718867933	2.873277733	7.876504915	3.924245818	1.839228764	6.494223157	1.934965379	6.238783907	2.363528648	4.844875499	14.10492501
22	2.489512275	2.667811499	2.853369274	7.750341967	3.901410725	1.781682904	6.485424351	1.831575708	6.204065406	2.306190021	4.778007086	13.79341743
23	2.488040933	2.629880402	2.863647287	7.557136336	3.895444593	1.689091656	6.502114544	1.582109661	6.336605095	2.197189952	4.614440518	13.5548662
24	2.479648299	2.579002922	2.7956008	7.54659247	3.883395514	1.665983539	6.326105821	1.529502223	6.362102849	2.506810279	4.583015339	13.31297291
25	2.368296831	2.641243458	2.785392964	7.431197909	3.708965799	1.697145653	5.577043306	2.121291888	5.956491629	2.522424136	4.430829636	13.03205097
26	2.370165014	2.604231407	2.776026207	7.336033726	3.688365791	1.59893191	5.523587728	1.994397483	5.907273995	2.439817888	4.410204619	12.82847463
27	2.363760431	2.564696357	2.800318133	7.220320129	3.544771026	1.656105555	5.462329157	1.948733222	5.962569468	2.394432435	4.381511003	12.65147579
28	2.353771039	2.531736688	2.792069859	7.104695952	3.542936786	1.573479183	5.427178488	10.81055043	5.923124734	2.351539546	4.418629459	12.51740444
29	2.341845503	2.61475394	2.789382049	6.995807799	3.524622083	1.503904686	5.285352206	10.88943019	5.884326886	2.30365782	4.437913225	12.35857798
30	2.342111492	2.524627152	2.819979055	7.015029166	3.447125236	1.445262764	5.266885642	10.73226617	5.846103232	2.631724032	4.427968207	12.1672208
31	2.333341404	2.350866408	2.81858667	6.907600577	3.435695637	1.400511067	5.151819187	10.3894919	5.783502722	2.357892269	4.418262168	11.92806545
32	2.330061619	2.297630403	2.829711521	6.779948447	3.437686362	1.330812654	5.017392836	10.41694812	5.660016757	2.230472755	4.395165716	11.70494623
33	2.327028736	2.26299564	2.831737663	6.668650876	3.424169803	1.308385589	4.972488208	10.28465224	5.675780454	2.220064354	4.319647789	11.53477935
34	2.33416047	2.226302286	2.839558407	6.588470812	3.299767806	1.374448833	4.944830841	10.11218833	5.658609558	2.160340637	4.318971035	11.38185827
35	2.327058736	2.189918433	2.843636278	6.481114416	3.378223973	1.451649455	4.914211543	9.930904159	5.564040192	2.068905979	4.29343595	10.8955322
36	2.315634548	2.159857067	2.847371497	6.375670866	3.3769424	1.41119559	4.927683742	9.893356297	5.509412005	2.067140685	4.300606649	10.75425069
37	2.308227362	2.12868265	2.82300829	6.355079726	3.334008514	1.355142498	4.821784605	9.769053782	5.409343972	1.707885021	4.131333181	10.49870919
38	2.300540959	2.099326011	2.817925573	6.289918276	3.23328378	1.451850037	4.593801407	9.812527114	5.417584278	1.959468692	4.110114454	10.297287
39	2.295678058	2.074538983	2.811323274	6.167910467	3.188717098	1.539573193	4.582607823	9.623787946	5.473314751	1.914725503	4.066901129	10.18505313
40	2.290306337	2.046789903	2.810761496	6.090810279	3.195058538	1.518712547	4.403191934	9.483571155	5.4788205	1.603738548	4.027493357	10.05569175
41	2.286374554	2.05098278	2.803476286	5.976896643	3.192057969	1.469533931	4.393256991	9.38645271	5.41009231	1.515521516	3.860087579	9.977033671
42	2.279759879	2.01663919	2.777226607	5.948149756	3.14540522	1.547355252	4.424379754	9.216801809	5.233974124	1.690701714	3.884260241	9.875189244
43	2.277917033	2.354774204	2.761004004	5.894431934	3.122087341	2.080326069	4.446422108	9.115064921	5.224554373	1.634325684	3.846852286	9.827058571
44	2.267823858	2.190434531	2.773993194	5.81720239	3.138753112	2.041770899	4.43517196	8.959689065	5.215953884	1.602711387	3.79372375	9.748662208
45	2.262472838	2.153763079	2.775130307	5.76988354	3.166483307	2.016414781	3.899317542	8.858177331	5.14115989	1.52340329	3.77387861	9.694985889
46	2.257003792	2.117135667	2.845282538	2.261355671	3.158814616	1.967480911	3.99450186	8.648140982	5.136469958	1.493565762	3.744558266	9.48169357
47	2.253137882	2.085986804	2.872837657	2.266764899	3.166157582	1.974016651	3.927344257	8.520881132	5.056760337	1.758758051	3.710791874	9.39380073
48	2.244284581	2.056636774	2.904293193	2.299776623	3.141227446	1.976457153	3.918144773	8.431014295	5.067471125	1.712150082	3.681264027	9.309294094
49	2.238793159	2.032472462	2.923685068	2.426493471	3.135770474	1.948439546	3.944314456	8.328882287	5.00716633	1.902665034	3.683405141	9.218070498
50	2.238055073	2.015221121	2.9234725	2.408817715	3.142018911	1.992518495	3.96069762	8.288767697	4.904284713	1.899118037	3.70685626	9.162510364
51	2.229894102	1.9925517	2.898099094	2.649579292	3.093947342	2.028207259	3.994486773	8.177033604	4.874181313	1.894979355	3.69853755	8.95927708
52	2.217366161	1.971890086	2.899721107	2.610680149	3.077089837	1.803471303	3.842042078	8.121114197	4.908302602	1.875040468	3.658175759	8.937543495
53	2.202662731	1.952232625	2.867412176	2.600562301	3.033609157	1.795790656	3.84369664	7.979677335	4.785211254	1.911177995	3.61295848	9.060348205
54	2.200606493	1.932250502	2.873963072	2.573063348	3.010054695	1.777042014	3.82248329	8.032129964	4.511429154	1.847757041	3.587119326	8.927093149
55	2.195266628	1.913805987	2.871140315	2.548738042	3.025746248	1.758613826	3.791330237	7.938163271	4.357038389	1.970648669	3.583742491	8.832008865
56	2.189059411	1.905169487	2.866285736	2.521706738	3.030899399	1.736951199	3.789876715	7.870886249	4.251031988	2.395928592	3.591652864	8.678278757
57	2.189049099	1.892665695	2.847953812	2.508523914	3.030033447	1.711344636	3.753307202	7.770425601	4.109486224	2.372430202	3.506192842	8.60039252
58	2.180210581	1.95365629	2.85025812	2.49682955	2.916682165	1.947430828	3.751506438	7.697741777	3.516756267	2.319501715	3.495315379	8.525699326
59	2.171448137	1.935294592	2.850207215	2.463855873	2.915692173	1.922754946	3.721500597	7.614567529	3.487112833	2.28864672	3.484086772	8.46155532
60	2.167754859	1.918551298	2.857498901	2.434972358	2.913290446	1.899168108	3.760442397	7.509431234	3.498712106	2.053167736	3.46935237	8.388364079
61	2.162815866	1.900898821	2.851011783	2.415949929	2.899636484	1.687249345	3.768293214	7.420312864	3.491060737	2.362291767	3.461969881	8.311249849
62	2.161097768	1.883413664	2.852397925	2.390961065	2.868661281	1.880396088	3.792697496	7.351411752	3.285154167	1.863002374	3.388056503	8.212057132
63	2.155865377	1.867349331	2.864187103	2.400802693	2.867463468	1.857358596	3.800545195	7.314904203	3.229684853	2.087787708	3.401294545	8.127918254
64	2.153898803	1.852268225	2.860534913	2.39442784	2.861407052	1.853167594	3.770199172	7.16402688	3.222470123	1.895400751	3.454445341	8.067846143
65	2.150473182	1.836245834	2.840588063	2.261677397	2.863559202	1.830355338	3.769094376	7.107420788	3.184074929	2.05037038	3.457645746	8.000481544
66	2.143379092	1.8236783	2.8403023	2.241891094	2.879489942	1.815141825	3.769513747	7.057609209	3.150746864	2.025486706	3.360440595	7.977115777
67	2.135494097	1.789768409	2.858852627	2.371717877	2.974790353	1.640217943	3.741833748	7.096730104	3.143451917	1.770151857	3.353282295	7.944604136
68	2.132783762	1.773296565	2.86206613	2.358799326	2.967432046	1.628342531	3.735908249	6.995217981	3.101996487	1.831196502	3.286184185	7.778906255
69	2.129941523	1.759936311	2.86326049	2.344711757	3.088256073	1.798420274	3.727108758	6.93074222	3.08774662	1.844348763	3.282006713	7.661023054
70	2.125744065	1.689953562	2.885647769	2.455312943	3.093350219	1.786835268	3.721130248	6.960668395	3.035256944	1.984071763	3.278975594	7.600970262
71	2.122638581	1.672630312	2.89596658	2.458384022	3.081406693	1.812488668	3.714931022	6.910106748	2.987000867	2.034512956	3.347932287	7.552129601
72	2.11752618	1.554601459	2.90882495	2.445543684	3.090798501	1.826628491	3.711173306	6.895366205	2.966172962	2.115325194	3.350630674	7.492158408
73	2.117735844	1.536664162	2.981893997	2.429061269	3.083552297	1.818539639	3.671981561	6.855306683	2.969579796	1.844034369	3.321213615	7.408883022
74	2.112710548	1.575471492	2.978744035	2.407270649	2.980003554	1.833428165	3.702341492	6.742946158	2.967388433	1.900372584	3.320484567	7.352753932
75	2.110988668	1.561331832	2.978841229	2.387132829	2.999271334	1.81883822	3.721099441	6.706893876	2.972221029	1.869115204	3.283589693	7.363788267
76	2.104682229	1.545533294	2.972586482	2.372558099	2.984248178	1.802718107	3.71548339	6.672480166	2.959231247	1.855609139	3.273916108	7.328787497
77	2.104142048	1.533624343	2.978887095	2.354695363	2.97402658	1.789735194	3.62177064	6.688314179	2.957243775	1.834502677	3.305308564	7.082200715
78	2.097454753	1.532934354	2.979443216	2.336653006	2.973423496	1.768398823	3.594890522	6.649441679	2.954277723	1.858412909	3.299932788	7.027210062
79	2.096673117	1.521614149	2.978080856	2.320431323	2.956715353	1.603228673	3.590306199	6.587434887	3.114709096	2.019488267	3.301908665	6.974681771
80	2.098216146	1.50860994	2.977789087	2.306190036	2.978637981	1.602353148	3.585564089	6.551151684	3.135795403	2.041645797	3.316400492	6.804934806
81	2.077234777	1.488480997	2.97792066	2.287084929	2.977623047	1.582480038	3.588605767	6.535771763	3.180152177	2.015787852	3.33055069	6.718834352
82	2.073580911	1.592359107	3.02818958	2.197340136	2.964008654	1.563058705	3.620337202	6.501398859	3.151848649	1.989266099	3.317230309	6.720600046
83	2.073857581	1.58474232	3.028949286	2.18030872	2.97531119	1.582094208	3.655306632	6.477534098	3.149966929	1.969718643	3.315305191	6.637092346
84	2.070599828	1.576013362	3.036191481	2.164443646	2.963725804	1.575024462	3.616742816	6.444860965	3.158929511	1.972403787	3.310061792	6.588542887
85	2.066167363	1.47032478	3.013485246	2.165594998	2.944162932	1.562170101	3.584238129	6.495945216	3.160155794	1.95427893	3.324890006	6.524175364
86	2.064453663	1.455560934	2.993205454	2.177468442	2.946350643	1.553793862	3.602699429	6.377140617	3.18733587	1.952521081	3.326509775	6.460216823
87	2.063093361	1.440821825	3.004277628	2.184749602	2.925224692	1.548926845	3.641033556	6.376494962	3.179981125	1.928528182	3.325936071	6.381607472
88	2.061198383	1.431813781	3.008509649	2.169500507	2.919525791	1.545113354	3.640770787	6.334992794	3.177329025	1.905876929	3.281353525	6.34519641
89	2.083233942	1.619398663	3.016009126	2.246972406	2.918901384	1.524305836	3.61831949	6.34150734	3.174752651	1.887301994	3.28988528	6.294646899
90	2.083340292	1.610198947	3.019564199	2.156628466	2.962837805	1.515926587	3.631752379	6.30372208	3.091140657	1.898788989	3.297751022	6.179554358
91	2.085446393	1.601944211	3.02875245	2.088339768	2.957574834	1.526826295	3.62606691	6.277226123	3.091238296	2.023774168	3.30166799	6.136353889
92	2.087241765	1.593343103	3.019416424	2.077959382	2.960127117	1.510609178	3.653811871	6.273094005	3.086587239	2.004718776	3.305375246	6.181148209
93	2.086462894	1.584234909	3.021208282	2.133149277	2.934785864	1.525447025	3.651338732	6.230109969	3.068718394	1.99723587	3.297247045	6.079393299
94	2.082807396	1.574282827	3.000695762	2.047681845	2.935724098	1.518486524	3.641182943	6.182352304	3.06787338	1.983819798	3.289366834	6.065924435
95	2.081542406	1.565317429	3.002334933	2.109413218	2.93550411	1.503239247	3.580009872	6.153766827	3.072142607	1.967181747	3.2948616	6.035558351
96	2.080131508	1.55626006	3.00097917	2.010907746	2.930337498	1.485690808	3.593191599	6.125202949	3.074846787	1.824649977	3.336282211	5.907714628
97	2.07863297	1.54734039	2.97109347	1.979525001	2.901855127	1.488007894	3.572647905	6.078213474	3.077932158	1.822299859	3.330165914	5.86779339
98	2.077803413	1.539260614	2.970030662	1.963111453	2.904320779	1.476831042	3.570926006	6.049493049	3.076948001	1.806303967	3.330027061	5.8273684
99	2.076947175	1.453461089	2.9600915	1.948807326	2.904959238	1.465845086	3.563379277	6.01942915	3.073063416	1.801329881	3.32100998	5.783293607
100	2.076518984	1.43498543	2.957221529	1.974670441	2.911466066	1.450400774	3.622402988	5.91159666	3.077508406	1.788762647	3.323017449	5.752648101
