Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
1	82.45317096	0.015336761	42.39245246	21.64451934	49.54625031	29.49519295	56.75678832	26.14799913	46.58175499	30.9799973	42.35241191	39.62702299
2	34.3933011	12.42922606	33.04275342	4.067189194	34.83386719	9.98826361	44.4461366	9.331234769	25.58641472	7.697601603	30.40162953	7.090640216
3	40.03017636	9.342178066	36.29848363	2.87155724	39.29777113	5.245231079	48.92786936	7.674462967	37.78969073	5.043926517	34.07393761	4.877647939
4	41.25601375	7.706679789	34.4421341	3.47922929	42.45839862	5.396217763	53.15499636	6.506042202	49.18517124	4.335287966	44.92400776	5.25452162
5	41.47807652	6.623442164	38.38129646	2.434353002	45.33884633	4.395194859	57.58270916	5.665800773	50.10201977	4.042287611	55.22270495	5.072942777
6	41.61046728	5.916713928	41.94789951	2.456016482	46.06525143	3.671516755	57.90467921	4.761728003	58.2257765	3.8620338	58.45380891	5.78410466
7	41.70018775	5.268884563	42.18147195	1.727989824	47.7365849	4.969902514	60.8806962	4.93134773	61.99207119	6.35040502	59.17116123	5.037441337
8	42.58555448	4.857507808	45.38929195	1.613748852	48.22394106	3.982868639	60.24320212	5.222229519	64.9475132	5.100111683	60.27969585	4.474865118
9	11.36137782	6.23397631	45.32158391	1.614085005	48.55929034	3.588086303	61.63104833	4.152831354	66.48727169	4.021509755	61.09780889	4.603236223
10	13.43154726	5.820184023	44.85820731	1.920080785	48.84043456	3.244412244	61.97014239	3.346053209	66.93311997	3.604975552	61.36678818	3.964601217
11	13.55563429	5.460536514	45.91276349	1.880193403	48.60878079	3.086360224	62.48157968	3.31617763	67.19583577	3.479900889	61.44004007	3.736570251
12	11.3527112	14.54441745	46.75600453	1.843781092	52.09920163	3.121569392	62.88692889	2.764077131	67.5259116	3.121536279	61.35248574	4.112514693
13	11.04270563	13.78409329	47.56503419	1.820436675	51.7650884	3.187877118	65.73879769	2.557204729	68.94584268	2.935825515	60.57006552	4.671836197
14	11.09624384	13.21498031	48.86132087	1.660753026	51.81882127	2.66061611	65.96493848	2.199581387	70.23514565	3.14342982	60.7318417	4.496536348
15	10.86855547	12.76933489	50.75362206	2.170438215	51.78757546	2.677865341	65.68272716	2.100175748	70.56395061	2.942537655	61.55557917	4.697723376
16	10.8432114	12.34193148	51.82054465	1.68679557	51.89407793	2.419024182	65.94840462	2.131225563	71.37579122	2.562082218	61.47085507	4.46292278
17	10.85501558	11.82590319	53.88353807	1.578061615	51.85704565	2.502370829	65.77191633	2.571466014	71.50795454	2.52427007	61.72400302	4.197273737
18	10.78099635	11.13298253	54.09361052	1.396050642	51.89648666	2.403728336	66.0050834	2.294213499	71.40701335	2.473132313	61.22151755	4.438932375
19	10.66714948	10.9179534	55.04941533	2.383913786	51.73848116	2.310280611	66.75000027	2.1998001	71.97747958	2.213156074	60.38049769	4.167069882
20	10.43916187	10.67197582	54.86358755	2.307405535	51.94668666	2.248124271	67.10981411	2.278251787	71.78580458	2.285121433	60.94635381	3.983265499
21	10.40698197	10.41309893	55.02637485	2.218487922	52.78779485	2.76997912	67.2373998	2.194134018	67.86008496	3.28594511	61.03797628	3.796925163
22	11.1149624	10.30868394	55.17045026	2.162763902	52.93228058	2.659692629	67.77522566	2.050473215	67.93521845	3.038822677	60.99949675	3.645803596
23	11.21591572	10.11682676	55.15392785	2.05040602	53.27280152	2.528101322	68.05035123	2.446085485	67.89010494	2.818206465	61.03976721	3.464672106
24	11.13460744	9.933431196	55.92914646	2.040702639	53.29385087	2.365157188	67.91272432	2.276427242	67.79227285	3.208826794	60.88501762	3.357163533
25	11.01419351	9.828015462	56.06217487	1.979007207	53.24216682	2.471588799	67.89812697	2.169758037	67.69408132	2.98138866	60.67435651	3.388677039
26	10.91355009	9.645052246	11.87067053	2.629478921	54.46527729	2.437020259	67.92401827	2.075804626	68.30552947	3.046714521	60.63529871	3.297730832
27	10.83465915	9.400035149	12.92756794	2.508272267	54.43361935	2.347869985	68.05201592	1.872951647	68.23159875	2.879530044	60.70483202	3.195716325
28	11.21239269	9.357406523	13.04231676	2.323833031	54.55123365	2.292927017	68.01807687	1.953139589	68.0208669	3.013256298	61.10405964	3.099492401
29	11.12205889	9.221365731	13.04456248	2.182679907	54.854422	2.198307311	68.39724524	2.014525043	67.81814477	2.892833768	61.19924306	2.945512855
30	12.34483373	6.281778441	13.08155626	2.16837385	55.89366115	2.10031355	68.4342966	1.960340417	68.13698857	2.930308105	61.31957364	2.858918034
31	12.30537777	6.175107771	13.09600662	2.065785577	56.19659435	2.129239134	67.96530633	2.161253409	67.47661942	2.833982044	61.45600248	2.771910597
32	13.08888621	4.958771842	13.16510839	2.013994811	56.2383694	2.015368423	68.21480118	2.158203845	67.21366362	2.794535396	61.44264098	2.672500915
33	13.07899486	4.876876541	13.15480561	1.988212625	56.27928846	1.918676726	68.0693485	2.06434821	66.55062277	2.974049356	61.22931378	2.650671184
34	13.05553966	4.780555111	10.19237279	2.008303634	56.96482797	1.927842818	68.25067953	1.960532795	66.34376979	2.893942028	61.30141412	2.51389701
35	13.01526251	4.845666323	10.22934754	2.026520908	57.9771052	2.01844614	68.2750828	1.911621888	66.27804732	2.860138521	61.34152299	2.397419712
36	12.98054895	4.96857421	10.30940562	2.059517069	54.91458309	2.163226565	68.34127708	1.866385426	64.99450911	2.957213174	60.74380912	2.616330763
37	12.94119807	4.874135089	10.81510642	2.023148332	55.87099825	2.062305358	67.88029842	2.025749606	65.05368527	2.876147274	59.29933701	2.468262765
38	12.99241045	4.953007215	10.14296161	2.059176042	56.74139032	1.870594915	67.59346499	2.041946627	65.1680336	2.952107292	58.94522569	2.31639715
39	12.96717988	4.765539193	10.69219282	2.009643708	56.87376814	1.822887421	67.47791315	2.145089601	65.33795006	2.988902545	58.97362699	2.183071892
40	12.95176281	4.690063906	10.74123291	2.01479911	56.79834032	1.803497353	67.53190777	2.095266426	65.40051375	2.918248085	59.00227719	2.123730983
41	12.90943918	4.608693147	10.68110608	1.990001047	56.912117	1.721652765	67.51985489	2.017024599	65.37837139	2.956030753	59.70901919	2.249286838
42	13.01902687	4.558390496	10.65523261	2.035588724	56.96506784	1.66699846	67.51343286	1.996237387	65.43010376	2.89370041	59.21484371	2.464390702
43	12.97508093	4.49949547	10.63911067	1.979059072	56.28384116	1.824525711	67.65948277	1.970727652	65.57589326	2.888630182	59.32922116	2.568901983
44	13.03279504	4.481115412	10.56533023	1.973809542	56.19774684	1.829114121	67.67694621	1.926360864	65.52699442	2.83282164	59.26762526	2.520822087
45	12.97092842	4.392866491	10.57573014	1.944375733	56.96935601	1.897886451	67.70095326	1.896902129	65.48518171	2.768986624	59.32628098	2.175802141
46	12.91080069	4.428831839	10.52553076	1.997554117	57.0552568	1.857121159	67.35316732	1.893778228	65.52119471	2.735544348	59.17139106	2.533839799
47	12.89163513	4.363635965	10.49502641	1.957856972	57.19810676	1.853055187	67.34487764	1.916451155	65.88095378	2.670468431	58.95949312	2.824697037
48	12.86292771	4.307857033	10.42490807	1.910390483	57.26025217	1.815218955	67.12650785	1.972804998	65.92194127	2.614115352	58.9471201	2.752435029
49	13.08350913	4.19160578	10.39533454	1.906900304	57.98829393	1.82321745	66.89443809	2.041417738	66.05060144	2.5817964	59.26722708	2.717673848
50	13.03042727	4.160778797	10.10087901	1.975578237	58.05197718	1.818803753	66.78494158	2.007100637	65.53299603	2.491784947	59.27970229	2.721850826
51	13.0062532	4.108227306	10.04347234	1.978126897	57.97945644	1.832226819	67.03845351	1.987673366	65.18187355	2.57498481	59.51517723	2.718867542
52	13.0076971	4.054410536	10.01710185	1.995987744	58.16928047	1.769101759	66.73255869	2.07057017	65.18469426	2.527905931	59.68937328	2.727150368
53	12.99685002	4.007942127	10.00294156	1.989497823	58.48965216	1.740235157	66.89536135	2.057744616	65.21135305	2.473625536	59.78588444	2.785196656
54	12.95720474	4.406494828	10.11944201	1.990986253	14.43780607	2.34156776	24.79280758	2.986463935	65.37621096	2.43810273	59.71813386	2.75675596
55	12.93549404	3.915886124	10.09940764	1.957446144	17.09467931	2.316633983	25.04008923	2.705853355	65.35408294	2.438198475	59.23831329	2.80440421
56	12.93775161	4.288588424	10.05416217	1.957160165	17.27002782	2.235948471	25.25291823	2.705880564	65.3377641	2.388219022	59.21068665	2.757972892
57	12.9292398	4.247752174	10.03680403	1.919086989	17.32019245	2.201868042	25.27522699	2.584350576	65.29763792	2.351029735	59.05203993	2.729948711
58	12.89267175	4.212136985	9.856002341	1.984105626	17.32711022	2.168524736	25.74667671	2.59160709	65.33372728	2.313111796	59.2206669	2.522688781
59	12.88233303	4.171293383	9.727631426	2.004822318	17.5015655	2.133937718	25.75926514	2.526022521	65.42614242	2.286918156	59.46004383	2.441302374
60	12.8552869	4.131060342	9.69914838	2.001775656	17.47110496	2.124042296	25.87204885	2.491066417	65.421781	2.298177287	59.37056643	2.402728437
61	13.58975303	4.162519384	9.78369095	2.034015198	17.71069038	2.166243032	26.49285968	2.533935918	65.70846617	2.344926438	59.04752807	2.418343477
62	13.54204192	4.127428149	9.771662392	2.012444168	18.55144947	2.184420005	26.31369738	2.490348446	65.48345961	2.397233801	58.87927774	2.538920482
