Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
1	38.18896091	6.851392848	49.82845639	10.54148445	50.81929484	20.18763571	59.33405827	17.70175582	52.95648764	23.53396744	54.27750046	29.48559023
2	19.28069938	6.060072101	35.95793504	9.405031352	40.37648746	17.35692466	49.57537702	9.357022215	35.31841845	11.53176013	41.5408037	11.03390794
3	24.98340846	4.46307684	36.88607	6.987814545	43.73403789	11.14407412	53.03850714	7.506575958	51.94701297	8.735643856	45.76190416	7.335474579
4	26.43562868	3.685521089	38.97286251	4.502629937	49.0482485	6.449334701	54.59206605	6.46342994	55.81175981	9.25032448	54.9967798	5.092773454
5	28.00405146	3.04848434	43.94827981	3.772279408	51.00841684	3.879104648	56.88490086	4.796596559	59.84050226	7.340867306	57.89667155	4.112032688
6	28.12574861	2.754908263	45.38851891	3.415411016	53.48749673	3.187229977	59.93094453	3.793337	62.54313497	5.76152295	58.49154004	3.418377369
7	30.04016701	2.518760247	45.99765653	3.303098445	54.26544468	3.898121445	62.64727813	5.129673195	62.87806878	4.880294005	60.2714706	4.018081454
8	31.5522179	2.381456764	47.59690539	2.899094604	48.71167206	3.365800863	62.95594317	5.007651	64.51180827	4.488623136	61.61052734	3.504225475
9	10.77879919	2.598507021	47.90867157	2.769965033	48.87014626	3.82990602	62.72468259	4.42560961	66.05753459	4.66914423	62.18589315	3.374293913
10	10.64044983	2.511395288	49.34816844	2.556884691	48.82113364	2.919796683	63.02704646	3.430913334	66.75781047	3.81592906	62.60748923	3.231065701
11	10.43766404	2.409555418	49.85029036	2.16079108	52.86749934	3.60296965	63.38151249	3.372483715	67.11262352	4.51174271	62.30249444	2.946634095
12	17.26487627	2.428314831	52.27483946	2.035306643	50.8524224	3.190520481	63.61733905	3.006875939	68.5664015	3.984363868	63.85722344	2.672796025
13	17.17437002	2.3198925	52.43360854	1.935454702	51.12381713	2.68564622	64.61761226	3.329150563	68.45273044	3.996042447	64.59249939	2.474296596
14	16.83412465	2.483835827	53.7151912	1.797788987	53.30451045	2.637377306	65.36332349	3.554731647	69.77031316	3.65783868	62.65919204	3.576077452
15	16.33532746	2.554735632	54.0419393	1.891701154	53.37518706	2.443796477	64.96652011	3.278552185	69.73304453	3.598727453	62.12942883	3.274811637
16	16.27068398	2.438204133	54.22729132	1.695982742	53.37402723	2.428520912	66.13438507	3.02085663	69.71615827	3.4183963	63.36690489	2.923262505
17	16.16122853	2.352137932	55.52710129	1.735141107	54.63526595	2.328417749	66.47421831	2.676393628	69.97260606	3.111988865	63.05890968	2.993778195
18	16.56035913	2.322269266	56.06589032	1.785774999	54.7774515	2.092622719	67.17646896	2.614290147	70.18806143	2.981160653	62.65349014	2.896770247
19	16.64730878	2.238631366	53.77301243	2.494765053	54.66766283	2.223177367	66.94534668	2.577882696	70.30291657	2.808697772	62.98142018	2.492341083
20	16.0927634	2.386927718	54.12058994	2.350658697	54.8627276	2.285687924	66.86329945	2.488934549	70.31523851	2.914637861	63.18721319	2.307567678
21	15.83571357	2.491817613	54.23362681	2.300207346	55.25486145	2.198303786	66.87655374	2.30523735	71.58620425	2.843407094	63.23853674	2.168319025
