Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
1	5.110647984	6.057498835	13.25585785	16.43719796	17.01933651	22.03175214	14.64769398	10.4466823	18.30027436	16.20116812	18.15211937	35.01379677
2	5.121223582	5.646179674	13.5956801	15.24241947	7.968803869	23.85572015	11.89341897	10.88012557	15.4488071	9.772062911	14.11279518	34.82618931
3	4.825309177	5.251694039	12.52834065	7.897852548	7.252689691	16.96282693	11.40892988	6.952362728	14.1302783	7.473839428	13.40272161	32.33357016
4	4.803204551	4.885991191	7.930244874	15.47951551	7.286124667	12.61449291	11.00462277	5.708449296	11.43552034	8.608570751	14.46071098	30.19787647
5	4.883710852	3.957763843	6.858912546	11.24192262	7.355063296	10.77965173	10.99516813	4.920114773	11.2778973	6.930873629	14.60601665	28.53117941
6	4.875714319	3.762140891	6.794216376	10.46713822	8.401858584	9.401997959	11.33939691	4.934523427	11.47987034	5.690062794	14.71889367	26.97399916
7	4.895135396	3.538990801	6.731860537	9.56233356	8.732769088	7.820989074	11.44181007	4.837711911	12.32665297	5.019719006	15.22558732	25.52767816
8	4.911787457	3.430440158	6.565165711	8.831138274	9.014074682	6.645675021	11.47585688	4.025419004	15.15490234	4.6222804	16.42748142	24.7584416
9	4.773932009	3.248157352	6.575410963	9.143316375	10.07227281	6.422942244	12.38288367	4.117559108	15.30286985	4.834678923	19.25290792	23.75324352
10	4.874533797	3.12511239	6.576682207	8.531459179	9.652908242	5.734383193	13.56198726	3.355706575	18.36381852	4.64403412	19.25044612	23.09307776
11	5.144861707	3.102797489	6.493434156	8.335297477	10.91240474	5.558064292	14.0465496	3.953748339	18.1548216	4.182916975	17.01671692	22.43174774
12	5.154647882	3.003081624	6.479774379	7.843184988	11.33328159	4.927685772	14.75505102	3.650948015	20.51071597	4.057240228	18.73187898	21.69026567
13	5.194776221	3.020179151	6.440518501	7.642971911	11.39814636	4.327471524	14.60059146	3.709221063	19.27798056	3.790596243	15.07134993	20.99876327
14	5.192077809	2.880250611	6.39208882	8.314022027	12.69865241	3.770347758	15.14507243	3.776362345	21.14216992	3.715936368	15.09085224	20.39731848
15	4.711035768	4.44415605	6.31978031	8.234200134	12.88360438	3.571251852	14.99031712	3.571634589	21.18958292	3.144842132	15.09474548	19.76913725
16	4.68902606	4.301574151	6.261438679	8.053317083	12.94185739	3.403725335	15.40980459	3.08491026	21.18099015	3.416609156	15.09650859	19.22221769
17	4.664354358	4.175735989	6.251774934	7.853236384	13.03811726	3.295135339	15.64637178	2.896040516	20.63003355	3.634841502	17.18464748	18.74676841
18	4.645450467	4.066888623	6.28818558	7.84403087	13.0958471	3.238135847	15.77239121	2.708593715	19.59198375	3.857673438	20.15081949	18.13735952
19	4.59966261	4.132167768	6.293641326	7.652958707	13.30190874	2.965584106	15.91312165	2.77804273	20.88314269	3.731037421	16.9649648	17.88590006
20	4.581883932	4.025075686	6.344226242	7.370700853	13.22446969	2.730795312	17.89051133	3.107491136	22.51164917	3.534121554	16.96992943	17.48418258
