Ntrain	Dimsum2	SP2	Dimsum5	SP5	Dimsum10	SP10	Dimsum15	SP15	Dimsum20	SP20	Dimsum25	SP25	Smooth2	Smooth5	Smooth10	Smooth15	Smooth20	Smooth25
1	3.76798129	0.5992	5.092281015	0.7688	6.104041293	0.7456	13.18882955	0.806	13.4954316	0.8756	27.79832774	0.9942	1	1	1	1	1	1
2	3.780915418	0.0076	4.631978174	0.0596	6.154389428	0.6918	12.65347379	0.7484	12.85317389	0.6718	28.4328145	0.8434	1	1	1	1	1	1
3	3.861245908	0.102	4.468196851	0.3356	5.89929072	0.2524	12.14716463	0.6022	11.7130403	0.8322	28.53800098	0.1538	1	1	1	1	1	1
4	3.8583287	0.003	4.498279754	0.0292	5.797531113	0.176	11.02626479	0.8138	11.39794641	0.289	28.97397609	0.672	1	1	1	1	1	1
5	3.882658504	0.0112	4.47776409	0.0002	5.670881189	0.022	9.401898188	0.8426	10.44886337	0.7578	29.1828009	0.085	1	1	1	1	1	1
6	3.890570588	0.008	3.264856184	0.8072	5.549409763	0.3576	9.047494856	0.5244	10.13871274	0.6516	6.590023697	0.958	0.121833333	0.333433333	0.374233333	0.7229	0.679666667	0.617733333
7	3.886353655	0.001	3.2367595	0.0008	4.908577228	0.5812	8.877379178	0.0244	10.042513	0.4216	6.525059818	0.165	0.022133333	0.205433333	0.346833333	0.592633333	0.604	0.479533333
8	3.883347448	0.0002	3.137952156	0.2468	5.208080344	0.54	8.623995896	0.4606	9.648215314	0.4124	6.508848448	0.0542	0.0209	0.236633333	0.321533333	0.544666667	0.560766667	0.348
9	2.617871621	0.6526	3.12295659	0.005	4.937280863	0.4506	8.507204415	0.053	9.46965504	0.0504	6.466348652	0.0548	0.112666667	0.181533333	0.354566667	0.453133333	0.430466667	0.3315
10	2.619705126	0.0314	3.115525667	0.1688	4.529886957	0.4516	8.18729764	0.652	8.973052104	0.7124	6.341959354	0.16	0.1174	0.2048	0.4005	0.426166667	0.501033333	0.246166667
11	2.60264727	0.001	3.126602406	0.0002	4.391246809	0.0528	8.144063443	0.001	8.787254011	0.4236	6.261281615	0	0.1157	0.2048	0.405633333	0.2859	0.445333333	0.232
12	2.580449056	0.0016	3.120191813	0.0234	4.416077901	0.1096	7.822379293	0.4	8.506659967	0.3972	6.146089606	0.0552	0.114633333	0.074166667	0.3643	0.265166667	0.402933333	0.081533333
13	2.568390438	0.0198	3.109156475	0	4.384401397	0	7.745112331	0.2016	8.367222004	0.263	6.101904168	0.0538	0.117766667	0.074033333	0.267433333	0.2947	0.3765	0.063
14	2.558779867	0.0018	3.070373561	0	4.428344526	0.0006	7.624562496	0.2762	8.260606713	0.2858	6.075497469	0.0664	0.118033333	0.0329	0.177533333	0.263966667	0.3554	0.065033333
15	2.554748736	0.0168	3.020945913	0.1154	4.409455858	0.0014	7.415265275	0.6152	8.130562313	0.0846	6.096121663	0.3016	0.012066667	0.0513	0.102666667	0.357666667	0.3611	0.106166667
16	2.538951019	0.0168	3.030583455	0.054	4.388253717	0.0002	7.308269888	0.0966	7.975018129	0.3696	6.01318216	0.4102	0.009633333	0.032166667	0.027433333	0.2651	0.303966667	0.147866667
17	2.536831877	0.001	2.964843473	0.0642	4.405258802	0.0452	7.365170177	0.6476	7.921088817	0.0004	5.988739336	0	0.009633333	0.042833333	0.026166667	0.372866667	0.233433333	0.147866667
18	2.529752754	0	2.887564362	0.1624	4.335009229	0.0202	6.974574406	0.536	7.772962141	0.3594	5.953304194	0.0392	0.009366667	0.066	0.011266667	0.395533333	0.227133333	0.1452
19	2.509858792	0.0022	2.891190185	0.0154	4.101794394	0.5388	6.739066568	0.3082	7.72621809	0	5.733301918	0.4278	0.006433333	0.068566667	0.101066667	0.4133	0.1833	0.207533333
20	2.507521187	0	2.856058897	0.2088	3.948099504	0.054	6.488120485	0.2856	6.41653461	0.8008	5.53329201	0.4488	0.006133333	0.103366667	0.109966667	0.414866667	0.269133333	0.271266667
21	2.493971188	0.0006	2.861970661	0.0686	3.924245818	0	6.497586362	0.0778	6.238783907	0.1344	4.844875499	0.7186	0.003433333	0.095566667	0.109733333	0.3253	0.277433333	0.340766667
22	2.489512275	0.0002	2.853369274	0.0008	3.901410725	0.0004	6.485424351	0.0864	6.204065406	0.015	4.778007086	0.062	0.000666667	0.0867	0.109766667	0.3236	0.218333333	0.282733333
23	2.488040933	0	2.863647287	0	3.895444593	0.012	6.501854262	0.0082	6.336605095	0.291	4.614440518	0.2804	0.0005	0.076	0.104233333	0.217033333	0.266766667	0.329466667
24	2.479648299	0.0002	2.784707732	0.0814	3.883395514	0.0008	6.611545195	0.193	6.362102849	0.082	4.583015339	0	0.000533333	0.0625	0.101	0.159866667	0.220533333	0.322933333
25	2.368296831	0.39	2.774424186	0.0002	3.708965799	0.3198	5.577043306	0.7734	5.956491629	0.3428	4.430829636	0.2978	0.065166667	0.059966667	0.0645	0.2374	0.277666667	0.301266667
26	2.370165014	0.0384	2.765490857	0.0012	3.688365791	0	5.523587728	0.0144	5.907273995	0	4.410204619	0	0.071566667	0.025366667	0.0555	0.1922	0.1442	0.226466667
27	2.363760431	0.0006	2.796426402	0.1026	3.544771026	0.26	5.462329157	0.3086	5.962569468	0.3858	4.381511003	0.0046	0.071566667	0.031033333	0.098833333	0.230666667	0.1861	0.107466667
28	2.353771039	0.0006	2.792069859	0.0004	3.542936786	0.0092	5.427178488	0.004	5.923124734	0.0028	4.286897109	0.415	0.071633333	0.030966667	0.1003	0.216933333	0.184066667	0.1663
29	2.341845503	0.0008	2.789382049	0.0004	3.524622083	0	5.285352206	0.2962	5.895294783	0.0002	4.304360933	0.071	0.071766667	0.031033333	0.0983	0.264933333	0.1356	0.1314
30	2.342111492	0.0534	2.834540909	0.4418	3.447125236	0.0072	5.266885642	0.0002	5.855823292	0.2448	4.294493705	0	0.080633333	0.0911	0.099366667	0.2328	0.162733333	0.1314
31	2.333341404	0	2.81858667	0	3.435695637	0.0052	5.151819187	0.3312	5.783502722	0.4044	4.274962396	0.1304	0.015633333	0.091066667	0.046933333	0.1591	0.173	0.1035
32	2.330061619	0.0064	2.829711521	0.0002	3.437686362	0	4.998174062	0.3226	5.660016757	0.2788	4.247653367	0.1696	0.0103	0.0909	0.046933333	0.210466667	0.219466667	0.131766667
33	2.327028736	0.0014	2.831737663	0.04	3.424169803	0	4.953214384	0.0626	5.675780454	0.073	4.172943827	0.068	0.010433333	0.080466667	0.0036	0.169466667	0.167333333	0.142333333
34	2.33416047	0.001	2.839558407	0	3.299767806	0.3264	4.925096939	0	5.658609558	0	4.171776332	0.0002	0.0105	0.0804	0.056466667	0.1688	0.166866667	0.0732
35	2.327058736	0	2.843636278	0.0004	3.378223973	0.2616	4.914211543	0.0562	5.564040192	0.088	4.158637198	0.0914	0.010366667	0.0804	0.100066667	0.1288	0.1815	0.0766
36	2.315634548	0.0002	2.847371497	0.0006	3.3769424	0.0016	4.927683742	0.1512	5.506738339	0.0494	4.163999919	0.0002	0.0015	0.006866667	0.099133333	0.153966667	0.148933333	0.076633333
37	2.308227362	0.0002	2.82300829	0.2402	3.334008514	0.0006	4.819059248	0.2462	5.37093603	0.0506	4.131333181	0.1578	0.001533333	0.0469	0.098366667	0.1398	0.089966667	0.0812
38	2.300540959	0.0004	2.817925573	0.0002	3.23328378	0.1724	4.588208141	0.5828	5.417584278	0.0004	4.110114454	0.0034	0.000533333	0.0469	0.1271	0.183166667	0.043566667	0.0535
39	2.295678058	0.0044	2.811323274	0.0472	3.188717098	0.041	4.577524749	0.0018	5.434411646	0.0012	4.066901129	0.0292	0.001033333	0.0481	0.133933333	0.173033333	0.0316	0.047033333
40	2.290306337	0.0002	2.810761496	0	3.195058538	0.0338	4.399285145	0.2516	5.4788205	0.0006	4.027493357	0.0108	0.0009	0.0481	0.085166667	0.214966667	0.0317	0.0488
