Ntrain	Dimsum2	SP2	Dimsum5	SP5	Dimsum10	SP10	Dimsum15	SP15	Dimsum20	SP20	Dimsum25	SP25	Smooth2	Smooth5	Smooth10	Smooth15	Smooth20	Smooth25
1	19.95553806	1	17.02681658	1	25.06356087	1	21.28526561	1	20.07746932	1	20.80576161	1	1	1	1	1	1	1
2	14.05562957	0.7936	14.35623933	0.3324	17.51134035	0.911	17.85435697	0.7298	17.15050388	0.901	11.74851163	0.9414	1	1	1	1	1	1
3	13.4085906	0.3816	13.44570906	0.7644	14.96381348	0.8718	16.78024288	0.8084	15.17617929	0.9014	10.84253725	0.6246	1	1	1	1	1	1
4	13.21992662	0	12.19062927	0.734	13.00157871	0.826	16.04417094	0.6164	12.52859429	0.7844	10.28558715	0.4606	0.5438	0.7077	0.9022	0.78865	0.8967	0.75665
5	13.01321781	0.3116	11.93163313	0.0198	12.14489562	0.7608	13.21346544	0.875	11.96622426	0.317	11.43285137	0.249	0.3717	0.46265	0.8424	0.7574	0.72595	0.5689
6	12.71403377	0.079	11.48897705	0.4002	12.10250947	0.1908	12.68872339	0.23	11.63540329	0.3292	11.82438022	0.4272	0.19305	0.4796	0.66235	0.63245	0.583	0.44035
7	12.60054983	0	11.12577415	0.2816	11.18853458	0.6316	11.76030078	0.577	11.27584805	0.308	11.81090239	0.3898	0.09765	0.3589	0.6023	0.5746	0.43465	0.38165
8	12.55734035	0	11.01561226	0.1028	10.9525497	0.0002	10.40700465	0.6972	10.9726548	0.4684	11.77484857	0.0018	0.09765	0.2011	0.39585	0.5948	0.35565	0.26695
9	12.68411858	0	9.764213504	0.6466	10.74873573	0.2746	9.449643644	0.5892	10.27188772	0.4518	12.31804478	0.13	0.01975	0.3578	0.2743	0.52335	0.38935	0.2372
10	12.45261053	0	9.479337258	0.0016	10.46080153	0.0002	9.023854907	0.4158	9.605371139	0.4828	12.37861167	0.0016	0	0.25815	0.22665	0.5698	0.42775	0.1308
11	12.18715763	0.032	9.176622225	0.1234	10.377794	0.0418	8.861553184	0.0208	9.533810451	0.0004	14.22494635	0.3228	0.008	0.2186	0.0792	0.43075	0.35085	0.11405
12	11.99713738	0	8.911927289	0.0418	10.17265833	0.0002	8.769225032	0.0052	9.520506333	0.0684	14.28758322	0.023	0.008	0.20335	0.0792	0.25775	0.25085	0.11935
13	11.95996405	0	8.725210457	0.0504	9.905644396	0	8.563524818	0.0378	8.584219473	0.5616	14.41066857	0.0044	0.008	0.0543	0.01055	0.1199	0.2783	0.08795
14	11.76476344	0	7.948242182	0.3268	9.842521644	0.0222	8.386281186	0.003	8.417197498	0.0952	12.31957228	0.3058	0.008	0.1356	0.01605	0.0167	0.1814	0.164
15	11.64853995	0.077	6.889211715	0.647	9.681810581	0	8.239551931	0	8.392433295	0.0002	12.35193922	0.0066	0.01925	0.2665	0.0056	0.0115	0.18135	0.08495
16	11.39203591	0.0026	6.43918055	0.4296	9.29117882	0.379	8.138869108	0	8.337261973	0.0296	12.9054246	0.0002	0.0199	0.36345	0.1003	0.0102	0.17165	0.07925
17	11.17426675	0	6.233121865	0	9.056844972	0.0222	8.047194777	0.0726	8.198743226	0.0022	12.81855949	0.089	0.0199	0.35085	0.10585	0.0189	0.0318	0.1004
18	10.78476688	0.0728	5.950588712	0.1728	8.701233812	0.1494	7.937799536	0.0022	8.144817166	0.2046	11.46153401	0.5578	0.0381	0.31235	0.13765	0.0187	0.05915	0.1634
19	7.071830322	0.8042	5.831803644	0.0004	8.502346912	0	7.937981069	0.0002	8.063125007	0.0128	11.69977562	0.2756	0.2199	0.1507	0.13765	0.01875	0.0623	0.23065
