Npc	pre	post
1	33279.1420670721	33279.1420670721
2	25477.8427333265	20010.3873818822
3	20040.9281725488	4178.92464050892
4	17051.6844364247	2581.7990301284
5	13980.4612463424	1145.67564989215
6	13017.72130686	703.220505685938
7	10535.2282074833	737.535452793647
8	9829.62233029024	730.732289842395
9	9319.68671573085	529.940178285291
10	9117.00785480772	538.262861058736
11	8900.12000427034	493.490856646411
12	8465.21027822824	827.696450058777
13	8195.36537083526	597.109475365857
14	7938.87137733286	583.94526813842
15	7783.31245073244	588.67364891077
16	7492.95005589838	614.954508190655
17	7468.11103136426	630.503960604098
18	7305.29335523925	654.826039099484
19	7245.16574866662	671.88859633669
20	6947.92982432782	707.64955348728
21	6897.92576291037	725.499945755111
22	6792.45119054314	756.159561785794
23	6641.25288668744	785.489306935005
24	6418.52461319901	804.171201816103
25	6382.9629705425	844.796552362148
26	6185.89220507838	888.54708030427
27	6188.53661399628	883.696170904132
28	6164.9821393017	917.905116059587
29	6128.17059612822	937.569166182381
30	6111.31819660067	958.744066917087
31	6053.23060505959	1027.6545962126
32	6023.49000889917	1038.82270823894
33	6015.9364718817	1055.0155118529
34	6010.92440532154	1083.77899154123
35	5998.42640082311	1104.5931788468
36	5998.64585589702	1137.98345367312
37	5990.89894931581	1158.73287531312
38	5972.15544612052	1193.61807035428
39	5940.92723232001	1195.257526241
40	5934.25682265453	1214.98098234051
41	5920.67168551531	1243.35220675372
42	5922.57983668367	1280.588577899
43	5929.77409786942	1303.27881417823
44	5944.1852336213	1323.00107175003
45	5950.9199309759	1352.74671993089
46	5961.94000081466	1377.77963252091
47	5970.60788836514	1401.65609791362
48	5933.79859939494	1433.70241239103
49	5940.06012261904	1456.21525368629
50	5950.81183835407	1480.44811832606
