Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	21789.24262	21789.24262	21789.24262	21.78924262
2	16642.87426	14875.48196	14875.48196	16.64287426
3	11905.19308	8468.048269	8468.048269	11.90519308
4	10828.8368	8046.256051	8046.256051	10.8288368
5	9675.686407	7421.356294	7421.356294	9.675686407
6	9145.26063	7304.383869	7304.383869	9.14526063
7	8743.63971	7177.227693	7177.227693	8.74363971
8	8515.998788	6950.304447	6950.304447	8.515998788
9	8251.547513	6720.211273	6720.211273	8.251547513
10	7992.834287	6601.393339	6600.944945	7.992834287
11	7839.817333	6530.37445	6529.526675	7.839817333
12	7640.581909	6335.005066	6335.005066	7.640581909
13	7383.66154	6442.592733	6442.592733	7.38366154
14	7139.049006	6401.761831	6401.761831	7.139049006
15	7073.386862	6274.290452	6274.290452	7.073386862
16	7021.962125	6203.190194	6203.190194	7.021962125
17	6916.354811	6187.676474	6187.676474	6.916354811
18	6853.317516	6193.428767	6193.428767	6.853317516
19	6716.791517	6171.600131	6171.600131	6.716791517
20	6691.600636	6119.74915	6119.74915	6.691600636
21	6678.298868	6074.366758	6074.366758	6.678298868
22	6601.319789	6021.684276	6021.684276	6.601319789
23	6574.86738	5994.278218	5994.278218	6.57486738
24	6546.431802	5961.753318	5961.753318	6.546431802
25	6521.235107	5942.509107	5942.509107	6.521235107
26	6502.468151	5891.777902	5891.777902	6.502468151
27	6476.315563	5887.233896	5887.233896	6.476315563
28	6458.101455	5899.512514	5899.512514	6.458101455
29	6427.274528	5871.88356	5871.88356	6.427274528
30	6422.377656	5865.004609	5865.004609	6.422377656
31	6440.644861	5923.833886	5923.833886	6.440644861
32	6403.207147	5950.854963	5950.854963	6.403207147
33	6393.638224	5933.223208	5933.223208	6.393638224
34	6382.618786	5912.798902	5912.798902	6.382618786
35	6376.324272	5953.544581	5953.544581	6.376324272
36	6376.153537	5970.379931	5970.379931	6.376153537
37	6380.000363	5939.430777	5939.430777	6.380000363
38	6369.177477	5943.161635	5943.161635	6.369177477
39	6378.111513	5996.766109	5996.766109	6.378111513
40	6407.742106	6006.5538	6006.5538	6.407742106
41	6401.553816	6044.206737	6044.206737	6.401553816
42	6421.117434	6031.809581	6031.809581	6.421117434
43	6423.589255	6064.540343	6064.540343	6.423589255
44	6446.107913	6065.134567	6065.134567	6.446107913
45	6440.382767	6035.605609	6035.605609	6.440382767
46	6432.088808	6054.867462	6052.10814	6.432088808
47	6431.913286	6038.114297	6038.114297	6.431913286
48	6453.925818	6065.5629	6065.5629	6.453925818
49	6463.321267	6079.688485	6079.688485	6.463321267
50	6451.948555	6114.069115	6111.935783	6.451948555
51	6482.341968	6146.117887	6143.984555	6.482341968
52	6513.855318	6167.785502	6165.65217	6.513855318
53	6542.738283	6178.214956	6176.081624	6.542738283
54	6564.682423	6213.383022	6213.383022	6.564682423
55	6578.965239	6238.940961	6219.080337	6.578965239
56	6588.651741	6263.74977	6243.889145	6.588651741
57	6614.880062	6297.234784	6277.374159	6.614880062
58	6618.857525	6351.927446	6351.927446	6.618857525
59	6647.009113	6381.67048	6381.67048	6.647009113
60	6642.381552	6383.307044	6383.307044	6.642381552
61	6675.806821	6423.962236	6423.962236	6.675806821
62	6711.402976	6429.856146	6429.856146	6.711402976
63	6739.445443	6435.120475	6435.120475	6.739445443
64	6779.356848	6461.714332	6461.714332	6.779356848
65	6809.52069	6470.650899	6470.650899	6.80952069
66	6836.94937	6477.47361	6477.47361	6.83694937
67	6850.574101	6501.367424	6501.367424	6.850574101
68	6877.587331	6526.998142	6526.998142	6.877587331
69	6906.49121	6562.590073	6562.590073	6.90649121
