Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	32927.46522	32927.46522	32927.46522	32.92746522
2	25716.83012	22676.78678	22676.78678	25.71683012
3	18269.767	12558.38365	12558.38365	18.269767
4	15977.25311	11384.70759	11384.70759	15.97725311
5	13992.00205	10265.93494	10265.93494	13.99200205
6	13515.1668	9869.279102	9840.365849	13.5151668
7	13040.8579	9499.293034	9470.379782	13.0408579
8	12553.91845	9363.083558	9334.170305	12.55391845
9	12333.80694	9269.649363	9250.239467	12.33380694
10	12157.29651	9094.949829	9075.539933	12.15729651
11	11890.56657	8936.501613	8922.259781	11.89056657
12	11717.11441	8854.425441	8854.425441	11.71711441
13	11464.81125	8693.196129	8688.493965	11.46481125
14	11419.1631	8685.130677	8677.531139	11.4191631
15	11289.25194	8578.39754	8568.907463	11.28925194
16	11254.27966	8503.277206	8499.08852	11.25427966
17	11175.18791	8359.779211	8357.888672	11.17518791
18	11147.01874	8259.671784	8259.671784	11.14701874
19	11102.09004	8247.778484	8245.887945	11.10209004
20	11069.06873	8222.082904	8209.956727	11.06906873
21	10986.48185	8239.354135	8079.9711	10.98648185
22	10915.23086	8041.63535	8039.227902	10.91523086
23	10815.50217	7997.013727	7941.595959	10.81550217
24	10805.8383	7904.115848	7900.278816	10.8058383
25	10753.66501	7842.402942	7827.158286	10.75366501
26	10768.03952	7810.922499	7794.660097	10.76803952
27	10756.44291	7781.515609	7760.264285	10.75644291
28	10775.78471	7768.297375	7744.655099	10.77578471
29	10764.19347	7777.844691	7768.017487	10.76419347
30	10759.60088	7820.515546	7810.688343	10.75960088
31	10778.40477	7827.499797	7819.081011	10.77840477
32	10790.65555	7720.439369	7720.439369	10.79065555
33	10802.34208	7709.736721	7701.317935	10.80234208
34	10792.17023	7738.419347	7722.223518	10.79217023
35	10815.41635	7686.799239	7639.633856	10.81541635
36	10842.36508	7695.73991	7651.964713	10.84236508
37	10838.55098	7630.151336	7600.27263	10.83855098
38	10822.89969	7572.446149	7549.893177	10.82289969
39	10801.63724	7576.638743	7549.333254	10.80163724
40	10820.55013	7532.844336	7510.706708	10.82055013
41	10841.41524	7508.92295	7506.448846	10.84141524
42	10840.32186	7501.430009	7473.710667	10.84032186
43	10851.45446	7520.377476	7502.123136	10.85145446
44	10876.91693	7481.652563	7464.411361	10.87691693
45	10907.68563	7515.18694	7502.780756	10.90768563
46	10915.8412	7526.678066	7496.599178	10.9158412
47	10917.70871	7412.844734	7412.844734	10.91770871
48	10907.87384	7410.35656	7410.35656	10.90787384
49	10938.97022	7478.982724	7471.643709	10.93897022
50	10942.20614	7493.358811	7486.019797	10.94220614
51	10967.58299	7451.57238	7451.57238	10.96758299
52	10983.98689	7531.690564	7531.690564	10.98398689
53	11018.06228	7602.016824	7602.016824	11.01806228
54	11050.95346	7586.843382	7586.843382	11.05095346
55	11088.10453	7604.056126	7568.342683	11.08810453
56	11120.16819	7583.608256	7528.005451	11.12016819
57	11141.28878	7573.854952	7554.745319	11.14128878
58	11176.84832	7630.513598	7591.752259	11.17684832
59	11213.4271	7624.2587	7576.44208	11.2134271
60	11227.55538	7631.404221	7599.634118	11.22755538
61	11255.19972	7635.0906	7568.815985	11.25519972
62	11278.9337	7610.230946	7562.090049	11.2789337
63	11282.72626	7700.273589	7643.377557	11.28272626
64	11310.13829	7663.574045	7663.574045	11.31013829
65	11331.39061	7638.357619	7638.357619	11.33139061
66	11363.58836	7631.505273	7631.505273	11.36358836
67	11383.46127	7702.63117	7702.63117	11.38346127
68	11408.32101	7708.082002	7708.082002	11.40832101
69	11442.20121	7706.552345	7706.552345	11.44220121
70	11479.32128	7754.310314	7754.310314	11.47932128
71	11490.65979	7718.467446	7718.467446	11.49065979
72	11521.0158	7755.302202	7755.302202	11.5210158
73	11553.01532	7835.115303	7835.115303	11.55301532
74	11580.14276	7847.509244	7847.509244	11.58014276
75	11612.00942	7878.656019	7878.656019	11.61200942
76	11638.22241	7899.699651	7890.646292	11.63822241
77	11667.76114	7935.908779	7918.273593	11.66776114
78	11683.23075	7920.53373	7911.480371	11.68323075
79	11701.52505	8045.989062	7982.583343	11.70152505
