Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	43278.65659	43278.65659	43278.65659	43.27865659
2	31798.51325	28886.03403	28886.03403	31.79851325
3	20679.21926	14806.58953	14806.58953	20.67921926
4	18016.24513	13616.46196	13616.46196	18.01624513
5	15456.54945	12519.52209	12519.52209	15.45654945
6	14539.75804	11947.4363	11947.4363	14.53975804
7	13532.01683	11331.37001	11331.37001	13.53201683
8	12975.01166	10631.40493	10631.40493	12.97501166
9	12348.27651	10208.37172	10208.37172	12.34827651
10	12029.20181	9947.614137	9947.614137	12.02920181
11	11691.43996	9519.289282	9519.289282	11.69143996
12	11020.0417	9340.135484	9340.135484	11.0200417
13	10544.85134	9183.104038	9183.104038	10.54485134
14	10231.76556	9110.527661	9110.527661	10.23176556
15	10238.27769	8968.321558	8968.321558	10.23827769
16	10126.47636	8892.745422	8892.745422	10.12647636
17	9985.530652	8856.799855	8856.799855	9.985530652
18	9935.007603	8837.272747	8837.272747	9.935007603
19	9849.771833	8798.480445	8798.480445	9.849771833
20	9823.628541	8795.478282	8795.478282	9.823628541
21	9755.662463	8760.908214	8760.908214	9.755662463
22	9745.654449	8739.012103	8739.012103	9.745654449
23	9764.938342	8773.572553	8773.572553	9.764938342
24	9696.702939	8849.465964	8849.465964	9.696702939
25	9714.485829	8836.898613	8836.898613	9.714485829
26	9767.868328	8862.59365	8862.59365	9.767868328
27	9764.385485	8830.248649	8830.248649	9.764385485
28	9777.002386	8908.02098	8908.02098	9.777002386
29	9775.826799	8899.351883	8899.351883	9.775826799
30	9797.961023	8891.984266	8891.984266	9.797961023
31	9810.730123	8920.388339	8920.388339	9.810730123
32	9855.988726	8932.446336	8932.446336	9.855988726
33	9919.490789	8939.013531	8939.013531	9.919490789
34	9968.730453	8923.357422	8923.357422	9.968730453
35	10004.4225	8943.496534	8919.349684	10.0044225
36	10065.99358	9002.544907	9002.544907	10.06599358
37	10137.47102	9072.739055	9072.739055	10.13747102
38	10160.85561	9076.033835	9076.033835	10.16085561
39	10185.91035	9102.887023	9102.887023	10.18591035
40	10254.54869	9113.808419	9113.808419	10.25454869
41	10315.16092	9198.423595	9198.423595	10.31516092
42	10345.94177	9291.389264	9291.389264	10.34594177
43	10402.34321	9285.927449	9285.927449	10.40234321
44	10442.3702	9299.052325	9299.052325	10.4423702
45	10514.48852	9386.29371	9386.29371	10.51448852
46	10572.99255	9432.338098	9432.338098	10.57299255
47	10635.42775	9464.027181	9464.027181	10.63542775
48	10679.93607	9539.091656	9539.091656	10.67993607
49	10735.50476	9587.794692	9587.794692	10.73550476
50	10805.12973	9590.588735	9590.588735	10.80512973
51	10879.1181	9653.947639	9653.947639	10.8791181
52	10932.36187	9747.716054	9747.716054	10.93236187
53	10981.99249	9726.681158	9726.681158	10.98199249
54	11051.21842	9758.432618	9758.432618	11.05121842
55	11128.38401	9823.423392	9823.423392	11.12838401
56	11197.31756	9885.182211	9885.182211	11.19731756
57	11254.86144	10014.75756	10014.75756	11.25486144
58	11304.51055	10061.67927	10061.67927	11.30451055
59	11386.35839	10168.07554	10168.07554	11.38635839
60	11425.09894	10260.45985	10260.45985	11.42509894
61	11468.4743	10299.87459	10294.09875	11.4684743
62	11552.45976	10332.21337	10326.43753	11.55245976
63	11619.18098	10412.4925	10412.46511	11.61918098
64	11663.98129	10461.09765	10461.09765	11.66398129
65	11731.17171	10526.66263	10526.66263	11.73117171
66	11766.08616	10580.89414	10580.89414	11.76608616
67	11835.88813	10655.8403	10655.8403	11.83588813
68	11892.35732	10681.1043	10681.1043	11.89235732
69	11941.32094	10726.79212	10726.79212	11.94132094
70	12015.45274	10763.40462	10763.24042	12.01545274
71	12071.95626	10811.09867	10811.09867	12.07195626
72	12138.41621	10842.77477	10842.77477	12.13841621
73	12213.14809	10917.17455	10917.17455	12.21314809
74	12287.47116	10966.73833	10966.73833	12.28747116
75	12365.95057	11017.71319	11017.71319	12.36595057
76	12437.07448	11054.62466	11054.62466	12.43707448
77	12508.62373	11129.40755	11129.40755	12.50862373
78	12551.56089	11193.43639	11193.43639	12.55156089
79	12631.49371	11270.42949	11270.42949	12.63149371
80	12683.81793	11318.23597	11318.23597	12.68381793
81	12765.40195	11385.98425	11385.98425	12.76540195
82	12839.62091	11427.26162	11427.26162	12.83962091
83	12923.54174	11481.16538	11481.16538	12.92354174
84	12995.69123	11565.8632	11565.8632	12.99569123
85	13064.59542	11626.87117	11626.87117	13.06459542
86	13139.83282	11715.77612	11715.77612	13.13983282
