Npc pre post
1 52142.43817827582 52142.43817827582
2 37665.501434927544 27885.527194403538
3 27026.661177478683 2096.8544492891333
4 21324.649212980537 1483.9816474926001
5 19362.0258512689 2109.750827576916
6 18458.009136229495 2881.9937638416845
7 16405.538349363138 695.2095256103328
8 15353.551478204869 873.3935170950232
9 14854.291845888685 814.6951170683504
10 14581.24606164785 597.4904683861035
11 14344.772028264942 722.1482598569662
12 13758.196298045248 909.2554516547189
13 13452.257849874359 795.8127286498873
14 13148.13182951471 708.1591302632739
15 12940.349695374847 781.4306438523251
16 12615.907731633168 920.8276744511311
17 12437.338559838405 795.5497775260563
18 12126.687680175224 828.8350946282353
19 11997.65690865378 862.4853480205973
20 11702.875649321839 863.7111953307151
21 11596.443658506501 899.8483861824222
22 11508.46588074196 963.0860051634832
23 11364.771366652401 998.6947935826986
24 11097.66875389302 983.9549314568262
25 11079.25478614726 1016.0713078539318
26 11009.376407889305 1041.0413254065663
27 10892.73422460819 1083.0043660221882
28 10810.813188343342 1122.1214318940702
29 10776.544588982766 1154.9209954858843
30 10727.593046451228 1170.7185284759305
31 10649.89141087427 1203.7714908811631
32 10575.258223686378 1256.531862087548
33 10537.741200306358 1285.8726217985482
34 10497.607455979578 1303.6769158878853
35 10449.842521681465 1322.0818808557426
36 10438.066016704328 1341.6049259226352
37 10402.198249220155 1358.9967468614968
38 10362.772170468563 1388.3375065724967
39 10293.889979514173 1435.0055171518034
40 10270.210139072402 1464.3462768628033
41 10238.464662621975 1493.6870365738032
42 10213.791812012261 1512.5564486296244
43 10215.471215310821 1543.5017783198653
44 10143.634712155426 1572.8425380308652
45 10148.483383205583 1602.1832977418653
46 10132.044105560683 1631.5240574528652
47 10129.916892138499 1660.8648171638654
48 10117.735368253898 1683.3496736617378
49 10076.08223789379 1712.6904333727377
50 10060.067582106438 1742.031193083738
