Npc	init	loc-alloc	full_loc_alloc	scaledinit
1	24124.39621	24124.39621	24124.39621	24.12439621
2	18037.36918	16151.75499	16151.75499	18.03736918
3	12365.71093	8786.196587	8786.196587	12.36571093
4	11429.38522	8821.814553	8821.814553	11.42938522
5	10263.90286	8423.700748	7606.013663	10.26390286
6	9813.950625	7969.880122	7969.880122	9.813950625
7	9328.114966	7629.709841	7270.236571	9.328114966
8	8985.842921	7509.628303	7148.916793	8.985842921
9	8892.456495	7209.453776	6763.391635	8.892456495
10	8711.780302	6650.315144	6650.315144	8.711780302
11	8644.66207	6797.994402	6797.994402	8.64466207
12	8449.868364	7009.377257	6518.572639	8.449868364
13	8302.703563	6539.5302	6299.280008	8.302703563
14	8041.119137	6437.489063	6346.806324	8.041119137
15	7990.84274	6197.743006	5992.077707	7.99084274
16	7851.590356	5495.611197	5237.922036	7.851590356
17	7824.157167	6328.660841	5365.41015	7.824157167
18	7757.624499	6038.248975	5480.551468	7.757624499
19	7686.749827	5571.38984	5551.907922	7.686749827
20	7658.002148	5511.960831	5272.016404	7.658002148
21	7612.283338	5546.147818	5546.147818	7.612283338
22	7591.122783	5442.442074	5405.426385	7.591122783
23	7586.882609	5457.960911	5381.674624	7.586882609
24	7581.801906	5982.469259	5820.283871	7.581801906
25	7578.142297	6215.59371	5937.06204	7.578142297
26	7480.522512	6066.774752	6048.2257	7.480522512
27	7423.859773	5394.176248	5269.066787	7.423859773
28	7406.270879	6044.499901	5876.382932	7.406270879
29	7366.949749	6107.395905	5655.435164	7.366949749
30	7368.404738	6047.288846	5738.959652	7.368404738
31	7392.204841	5767.449099	5185.25329	7.392204841
32	7386.972375	5618.817863	4787.078312	7.386972375
33	7392.87078	5736.275465	5125.998239	7.39287078
34	7399.127844	5887.938931	5377.302335	7.399127844
35	7400.016287	5668.375133	5568.408618	7.400016287
36	7433.62537	5588.219538	5488.689278	7.43362537
37	7441.447377	5456.253698	5431.493794	7.441447377
38	7464.667829	5975.532404	5743.781225	7.464667829
39	7445.852192	6088.631327	5386.278259	7.445852192
40	7478.898205	5552.87552	5280.94137	7.478898205
41	7485.729795	6261.286497	5373.992362	7.485729795
42	7489.826963	6414.717898	5489.620729	7.489826963
43	7495.567733	6201.130953	5240.39181	7.495567733
44	7528.861045	6290.862087	5090.84514	7.528861045
45	7562.34281	6522.82793	5501.174755	7.56234281
46	7567.379047	6680.953376	5466.971642	7.567379047
47	7557.910601	6545.492997	5117.802102	7.557910601
48	7548.471727	6453.695716	5063.439389	7.548471727
49	7580.155866	5988.564389	5620.78202	7.580155866
50	7580.032815	6309.832977	5537.552725	7.580032815
51	7530.74137	6304.203971	5400.130136	7.53074137
52	7553.033804	6495.428705	5391.691093	7.553033804
53	7577.550501	6615.861862	5737.931567	7.577550501
54	7590.053975	6452.226528	5646.001934	7.590053975
