Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
1	18.85981976	7.108836766	1	1	30.84136453	19.71843957	22.75031371	24.19987264	21.57462706	43.13582862	27.54362249	26.8598826
2	18.49688575	5.469866013	1	1	23.49548497	10.041391	18.89429935	12.8305801	17.39038496	14.89234268	18.96945019	13.26341736
3	18.15988171	3.974347133	1	1	17.96112504	9.347687154	15.64892385	9.780630014	16.86390241	9.769474969	17.72254979	7.596158473
4	17.82310989	3.278373997	1	1	17.42210976	6.3723355	14.85177496	7.711371406	16.66014472	7.414353231	14.41381348	8.856962606
5	17.71404354	2.864820057	1	1	16.27099556	4.558975508	14.02195099	5.621718961	16.63292037	6.017425126	13.88349676	6.513605182
6	17.27987425	2.551431887	1	1	15.30081648	6.084907845	13.8574584	5.219950801	14.92807323	6.837243694	13.1930207	5.676476476
7	17.25560151	2.158995605	1	1	15.06695323	4.565874487	12.33348368	4.666665021	15.01925965	6.009868295	13.25134479	4.496064149
8	17.17609102	2.015100282	1	1	15.03177974	4.880725933	12.91532252	3.320544407	15.09731015	5.223289112	13.35782549	3.815903246
9	16.92760577	1.913739943	1	1	14.98277407	4.345141074	12.83490978	3.87244279	15.31571868	5.028998474	13.30013043	3.391099651
10	16.4062328	1.914953567	1	1	15.10415784	3.976354953	12.92360168	3.582700258	15.43752075	5.153733376	13.32103621	3.198643226
11	16.38548869	1.631091783	1	1	11.89817637	5.172791552	13.0391003	3.280336549	15.76605906	4.659071487	13.38845955	2.972130792
12	16.30618952	1.581774859	1	1	11.83178608	4.409604165	12.78803363	3.133027289	15.92685861	4.247467637	13.44456061	2.785778744
13	16.13166992	1.69790546	1	1	12.11435759	4.248076623	12.64308279	3.189984385	15.84134407	4.148656136	13.57009514	2.647085779
14	16.04467355	1.866331724	1	1	12.07649261	3.976256469	12.46601803	2.763726054	15.46174376	4.096552697	13.6540424	3.048274427
15	15.96936989	2.509304246	1	1	11.64552556	4.057761053	12.51650422	2.526168461	15.5761851	3.87268339	13.82397956	2.643281034
16	15.90491024	2.694062554	1	1	11.59964548	3.567806777	12.35981	2.80436694	15.62148983	3.749828951	13.84838008	3.449968546
17	15.85169878	2.593795142	1	1	11.53364018	3.380799155	12.39390886	2.499504847	15.43011901	3.555400901	13.95370119	3.31133494
18	15.58121597	2.618892147	1	1	10.99432906	3.580689395	12.40155328	2.383677272	15.32640219	2.853077232	14.0161323	3.636667044
19	15.51460045	2.5564425	1	1	10.99089796	3.443518909	12.42081011	2.251245422	15.34407561	2.903612197	13.71807211	2.699121711
20	15.41662582	2.533667978	1	1	10.57721177	3.527923464	12.49141686	2.502340062	15.40186922	2.676838131	12.94742356	2.743080486
21	15.37482084	2.582871622	1	1	9.526362051	3.047026189	10.8217164	3.27693849	15.34459587	2.61460851	13.04784146	2.59150429
22	15.31167501	2.534773701	1	1	8.975044369	2.872413197	10.80703777	3.578066661	15.34639589	2.51535682	13.05112833	2.407249715
23	14.98709859	2.937526552	1	1	8.837835792	2.733557087	10.14155856	3.944158069	14.9913756	2.863991019	12.96740619	2.361444084
24	14.66685466	2.878312394	1	1	8.934630239	2.824592083	10.11696188	3.834242184	14.6943608	3.264212172	13.14860023	2.348479526
25	14.43521595	2.829547482	1	1	8.962678063	3.145583698	10.24988083	3.496567357	14.68585371	3.128483736	12.98517813	2.975521333
26	14.25524736	2.778936839	1	1	8.910536955	2.690152713	10.30137645	3.413038632	14.7718123	3.638402421	12.77655744	2.533410248
27	13.9717398	3.057196775	1	1	8.877010464	2.57983072	9.731985211	3.190090643	14.61687247	3.449902549	12.65343479	2.637878823
28	13.94001104	3.00837584	1	1	8.804418515	2.764038744	9.519335402	3.061323799	14.62166879	3.368293661	12.73194925	2.594228872
29	13.36937195	2.988688145	1	1	8.740456907	2.885749879	9.302311502	3.067664294	14.63480623	3.293261502	12.85638157	2.739577292
30	13.14387905	2.92203136	1	1	8.870919516	2.844907094	9.355459386	3.016613123	14.29238704	2.833255271	12.71898808	3.129851226
31	12.84094673	2.845248931	1	1	8.834871012	2.827317197	9.29294505	2.884300716	14.42723323	2.869222082	12.76616377	3.485729893
32	12.58959583	2.790294371	1	1	8.819295724	2.796688798	9.237054494	2.686980263	14.23261021	3.492272587	12.77179947	3.400010442
33	12.35687043	2.740773361	1	1	8.814387109	2.733232074	9.384780725	2.765902607	13.82784987	3.184644964	12.44465727	3.435162283
34	12.19918082	2.695794971	1	1	8.809387498	2.669158775	9.287231214	2.605429081	13.69254179	3.189002655	12.49015563	3.374191963
35	12.06228515	2.717502693	1	1	8.868247882	2.674958842	9.243269895	2.492749197	13.69885985	2.857832032	12.2749059	3.511115058
