Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
1	19.91245783	6.397264049	16.94997739	39.43591582	26.63175861	19.35099121	21.24812589	19.22395452	22.01727422	21.94629019	27.31056419	29.91429388
2	18.66824244	8.504293794	14.77104699	10.81875677	22.08637831	13.07188236	20.48708108	10.83865808	19.07235783	12.93241008	20.42355609	11.152785
3	18.13871264	4.134465112	14.39056264	7.680909305	20.12142971	7.52342023	19.49712392	7.466589868	17.92446347	8.725880835	16.90617249	10.25316901
4	18.05065699	3.22429256	13.55042092	6.839839544	18.00142681	6.544982153	18.85985513	6.501334545	16.1098835	7.185691577	15.11620864	6.027928765
5	17.34151259	3.194945701	13.30100239	4.508184837	16.54083738	6.693997052	16.16571656	6.993316554	13.48252696	8.848329672	14.3173918	5.159578957
6	16.86508763	2.733186645	13.20676119	3.488015405	15.59758814	5.246103307	15.61811445	5.720267035	12.90669035	7.198672384	12.46293752	5.521124046
7	16.71034055	2.462404693	12.98204294	2.629575313	12.2589987	5.3626498	15.31351517	4.775023278	12.3029451	5.745053722	12.08232785	5.03175916
8	16.46536728	2.277437178	12.73865962	2.429884819	11.89618191	4.602419674	13.09261869	5.23889645	11.56277957	5.262227543	11.57337202	4.786412617
9	16.31577482	2.172958083	10.94552633	3.683354358	11.60892075	4.236898231	12.92562626	4.025625385	11.49633081	5.571747688	11.94165538	4.392684591
10	15.95061055	2.040200489	10.69483201	2.636370041	11.27008266	4.083466276	12.86806887	3.508581847	11.50010786	5.486912193	12.70950598	4.12259313
11	15.66615641	2.025729785	10.35960346	3.366843671	9.787449285	4.898366817	11.75937946	3.156537917	10.98695268	4.708789611	12.11171604	4.443160758
12	15.40492389	1.896387	10.1958648	3.118719306	9.62937447	4.223729458	11.55855878	3.395690859	10.30559689	4.752248362	12.0137306	4.12908023
13	15.12908477	1.813032931	10.02455053	2.846694798	9.196045016	4.531729549	11.61241986	3.057998917	10.11169503	4.667278793	11.747339	3.922882564
14	14.79427741	1.693178272	9.621834043	3.117606588	8.186107404	3.87370877	11.62462616	2.889031312	10.02780404	4.365145022	11.87927075	3.61820771
15	14.44827362	2.883302508	8.466341384	2.177663392	8.045447968	3.542318915	11.64514042	2.65459333	9.963552572	4.10234836	11.77112675	3.37301189
16	14.19407254	2.794664588	8.056628394	1.822023699	7.835679045	3.14275067	11.63912334	2.535967049	10.19857279	3.932504339	11.69984432	3.319262559
17	13.97293573	2.705597601	7.954693085	1.73969496	7.330711508	3.003629354	11.55580584	2.544683675	9.525212058	3.860283683	11.23207325	3.18429233
18	13.45908376	2.679051876	7.884762215	1.903462629	7.243646054	3.08885305	11.55745806	2.447064919	9.762977849	3.695157104	10.98400716	3.096087658
