Ntrain	Standard2	Symmetricmatern2	Matern2	Standard5	Symmetricmatern5	Matern5	Standard10	Symmetricmatern10	Matern10	Standard15	Symmetricmatern15	Matern15	Standard20	Symmetricmatern20	Matern20	Standard25	Symmetricmatern25	Matern25
1	9.640420791	16.2790223	9.611614065	14.09181791	18.86203434	15.25274223	9.371916505	18.36992233	14.91069792	11.21781477	22.88792975	21.43415087	13.92094006	21.26020348	18.26027822	16.67820907	18.85395585	33.3628527
2	15.40748698	9.953299129	12.13101815	8.777109304	11.53358409	12.45887315	11.46728439	14.44831099	14.27209962	12.83879067	16.04675798	16.13117195	13.65321924	16.09028602	16.24450576	11.91542315	17.97658233	18.05327206
3	14.26999496	8.836862445	15.04343068	9.553899975	11.41947995	15.26102302	10.24635369	13.56282641	16.28256924	13.41061864	15.6325638	18.22307484	11.76612523	16.23549338	18.57910331	11.33897061	17.17262154	19.0833362
4	13.57863329	8.856535455	16.19091509	9.326119231	11.4400379	13.52831043	10.47499663	12.92188713	15.73436573	11.80799718	15.11345092	19.17961292	11.66853734	15.92450861	17.57830332	11.72445674	16.20192865	19.60361118
5	7.864877635	9.556426385	13.59323926	9.077166102	10.74541977	12.33683268	9.41690168	12.71051874	14.79590711	10.63798824	14.81560294	18.38789637	11.45035051	15.56577684	16.59970673	11.96091051	15.73495016	18.65193539
6	5.817701906	8.33523107	11.80579572	9.209476839	10.35955044	11.6029594	9.47368191	11.55546576	14.71350334	10.43048997	14.93098961	17.9378913	11.28530692	15.12039465	16.39770342	11.01453426	15.63942762	18.66333702
7	5.630300266	8.134321367	10.55910831	9.519207367	9.779009428	11.11285928	8.817743818	11.15593249	13.28795166	10.45306298	14.06544147	17.1505893	10.90020155	14.74787671	16.17158342	11.19023126	15.20790207	18.94961516
8	5.024114066	6.521752673	9.45230265	8.453643015	9.185719121	10.29281874	9.057124064	11.07424156	13.22796246	9.924773516	13.7551528	16.43969595	10.89259718	14.35705651	16.12450615	10.37158224	14.66316426	17.88544997
9	4.7447975	6.374690575	8.855626484	7.39000814	8.784173718	10.20561706	8.604025366	10.37927447	12.50543263	9.318160871	12.73663412	15.14481459	10.64772979	13.88892185	15.5414725	9.469192945	14.08506274	18.57382247
10	4.619332764	5.652827162	8.38223824	7.367564745	8.38405957	10.23148883	8.531569447	10.38550519	12.41180504	9.469924756	12.21004629	15.46204546	9.907367256	13.79181693	15.04720699	9.370339011	14.25764674	18.01206182
11	4.437981647	5.547348524	8.066190898	7.425077686	8.228149867	10.24639426	8.034118759	9.906608588	12.87982812	8.647338348	12.31475965	15.23063941	9.34212772	13.34885822	14.88646683	9.25984165	14.14070458	17.79917666
12	4.436764527	4.908429605	7.923267554	7.404848701	8.221981907	10.40374359	7.613916597	9.663873309	12.36946578	8.464059647	11.88551596	14.91211099	9.052065201	13.0569642	15.03001061	9.15870636	13.95790464	17.05242408
13	4.130622963	4.627624351	7.643436916	7.174539827	7.724242633	9.788360449	7.807740142	9.493896688	12.5855823	8.636287784	11.56995082	14.81444516	9.024183646	13.04141789	15.03596596	9.119132263	13.65803634	16.21393489
14	3.788713324	3.946547337	6.82833522	6.605080363	7.65742987	9.757034959	7.514816717	9.469361181	11.86420895	8.543414037	11.22293505	14.63222075	8.842314434	12.5490475	15.17126566	9.038803683	13.09651446	15.96342934
15	3.648035799	3.992102309	6.062481628	6.572507137	7.575375734	9.811401615	7.318485441	9.44463732	11.36421462	7.967147911	10.86485371	13.82644871	9.156656864	12.41423141	15.08960944	8.531676494	12.96410793	15.78921868
16	3.582843174	3.902767533	5.831065409	6.290040616	7.334035245	9.400584461	6.688274597	9.252767041	11.24032818	8.210919354	10.6457967	13.53512578	8.734907012	12.36962474	15.26242855	8.337859834	12.81342987	16.10955557
17	3.582673036	3.576294628	5.542579842	6.36572598	7.230265056	9.205970044	6.598539703	9.036641709	10.98340578	7.791675549	10.54320646	13.3682825	8.534987631	12.01983715	15.35675865	8.306115869	12.60965584	15.6536325
18	3.553294497	3.390770872	5.510180319	6.256680411	7.132299834	8.891377942	6.468605143	8.997667613	10.86886731	7.254485395	10.57891515	13.06299485	8.205286326	11.76380276	15.03926382	8.09905997	12.58272632	15.29913657
19	3.559098289	3.227757697	5.478961012	6.061746669	6.985580857	8.580366615	6.335467215	8.669783368	10.57797132	7.155859067	10.53853848	12.47236085	8.076633711	11.63950449	14.54688072	7.890164081	12.19885114	15.1235214
20	3.568100481	3.246397789	5.395996974	5.415905855	6.74370353	8.29616145	6.317247918	8.476419495	10.48283973	6.95689164	10.38299122	12.11493388	7.938860442	11.30017632	14.364947	7.801985515	12.09291601	14.73012263
21	3.563183246	3.143165411	5.360333569	5.478068194	6.686394728	8.092640889	6.21871711	8.310922069	10.45614293	6.849145743	10.10159834	12.35622762	7.567184015	11.09003412	14.1298255	7.808630648	11.97427475	14.66616468
22	3.683445495	3.166310113	5.275827278	5.406222713	6.742199972	7.997871037	6.135715455	8.337841129	10.37259528	6.77388591	10.0107966	11.91963674	7.540050533	11.02503327	14.03040186	7.760051957	11.70320597	14.18833153
23	3.780855492	3.139281963	5.024006495	5.472017821	6.662250355	7.624125528	6.099290848	8.321347607	10.38445976	6.616575517	9.900711882	11.56886852	7.564389415	10.79167006	14.08236317	7.523340319	11.64640091	14.00887715
24	3.423958936	3.072343905	5.026430424	5.224040135	6.555170762	7.512832135	6.044136326	8.296857852	10.15765272	6.429397342	9.648047798	11.56564855	7.642924268	10.86347858	13.58615112	7.3566272	11.43940644	13.95968806
25	3.456237125	2.890369154	4.869683362	5.153554586	6.607574929	7.440978886	6.057988121	8.108289076	10.12313392	6.287386843	9.520010485	11.24299688	7.480121654	10.75166842	13.02894837	7.18536766	11.29877593	13.77234239
26	3.587316432	2.801480732	4.864307658	5.258283532	6.76370066	7.378305544	6.084690489	8.138459877	10.02779911	6.368075821	9.563804168	10.95242992	7.39490729	10.46338952	12.87602292	6.972682619	11.10489494	13.636274
27	3.592491268	2.74401175	4.801139152	5.253867799	6.618062459	7.193274621	5.904509605	7.987795837	9.74836362	6.308632027	9.457314318	10.79224074	7.391599863	10.48637578	12.64183747	6.93936428	10.82070186	13.59920951
28	3.589005408	2.53692461	4.783399592	5.156014302	6.434588549	6.988518786	5.891010339	8.044953528	9.430447567	6.301308984	9.388871578	11.00725319	7.282204813	10.30478238	12.31655392	6.807631632	10.8448457	13.28529853
29	3.59898235	2.506297288	4.705863255	5.042795044	6.414799367	6.959042656	6.033070818	7.711571039	9.347976331	6.338116718	9.229798211	10.24442204	7.411827545	10.05174739	12.39056951	6.897700301	10.46688287	13.13298525
30	3.599375167	2.504285095	4.489637458	5.034193631	6.49645069	6.947881867	5.719823457	7.32805059	9.209830657	6.244534237	9.015758043	10.19036398	7.455991895	10.00012806	12.37563364	6.873192262	10.31155142	13.02521435
31	3.609225191	2.500446404	4.259239359	5.003196737	6.553901847	6.821211627	5.728523254	7.168775993	9.209473321	6.358981598	9.028666863	10.25131727	7.432248995	9.888893584	12.31478584	6.93949259	10.36379067	12.79599276
32	3.594199757	2.478297865	4.023323285	5.049178272	6.392870318	6.80470993	5.350664404	7.182860941	9.021392525	6.279062533	8.911741418	10.19763186	7.390690341	9.739937572	12.30732203	6.913608801	10.2397727	12.65240279
33	3.592685076	2.316097898	3.933664765	4.922020998	6.152039859	6.699095617	5.393395725	6.966417268	8.936881484	5.84943485	8.678733864	10.1644019	7.294996418	9.54103961	11.92207311	7.0023117	9.988529207	12.56478617
34	3.592274436	2.235555372	3.897837163	4.944717083	5.919968875	6.681554083	5.184970158	6.784537565	8.857089952	5.789374452	8.678868967	10.02334725	6.951538329	9.257007179	11.70915681	7.042944547	9.839676881	12.49634802
35	3.528341084	2.186011304	3.67973598	5.037973734	5.660297316	6.654055072	5.178463756	6.54604414	8.77331349	5.732755289	8.265163589	9.972416922	6.917784643	9.285710628	11.51585413	7.051642408	9.682644712	12.3265876
36	3.547777119	2.154784912	3.522797937	5.138453371	5.611486488	6.710645372	5.169411456	6.41389845	8.632554037	5.559253322	8.293946634	9.8017002	6.905826182	9.052357604	11.24008271	6.859331797	9.466560113	12.17080791
37	3.546548853	2.142785231	3.284762662	5.133382362	5.604816374	6.504911744	5.168923131	6.323729954	8.703117284	5.532592265	8.219326633	9.759820292	6.841253841	9.089358885	11.18738699	6.956460101	9.296725036	12.07109917
38	3.550309633	2.147122283	3.185416551	5.101940649	5.568515169	6.617024781	4.948023007	6.300588791	8.346640205	5.549130537	8.127686751	9.467771328	6.836098518	9.03349625	11.12229027	6.879709741	9.022359019	11.75712574
39	3.599451043	2.139538273	3.140048436	5.136180061	5.499054274	6.549709393	4.877890198	6.092224891	8.473786315	5.530061383	8.132362231	9.56262025	6.799776294	8.929079082	11.00947453	6.839169074	8.880664231	11.6710024
40	3.580027854	2.121501198	3.048138356	5.155565513	5.497467944	6.490976909	4.910708071	6.038534842	8.551755676	5.651416978	7.998332762	9.485561907	6.877202146	8.757983695	10.77003782	6.71961275	8.829515777	11.52877415
41	3.660694468	2.118903317	2.953296464	5.027937022	5.529748703	6.35752771	4.777295304	5.89059492	8.380848699	5.701661017	7.691427257	9.348065612	6.86281014	8.776119695	10.51771254	6.681373104	8.595468076	11.49055929
42	3.537875773	2.128336976	2.77619926	5.047517464	5.554292414	6.4134003	4.761889999	5.891909758	8.423628442	5.560695549	7.614321187	9.322747853	6.88186213	8.741905482	10.33781132	6.520643155	8.422270902	11.37977664
43	3.633335866	2.111314067	2.729996447	5.078114746	5.535020144	6.189671592	4.752298938	5.862255721	8.363369713	5.62512218	7.513310656	9.374476968	6.935321144	8.736659054	10.41009484	6.395691189	8.086327523	11.2845778
44	3.604767796	2.149923574	2.64455537	5.052802147	5.40300565	5.995529554	4.565338759	5.74299006	8.182044046	5.561233705	7.445796441	9.216422684	6.899131824	8.673762527	9.909482327	6.343918916	8.175355997	11.22173213
45	3.640057151	2.149671466	2.558495277	5.058588975	5.340251048	5.951164073	4.565383177	5.736365908	8.052878424	5.530404732	7.371292274	9.130349255	6.605862394	8.586055199	9.926221653	6.307419874	8.090769861	10.85527968
46	3.703378206	2.133719155	2.587554239	4.999917155	5.218046366	5.807042603	4.561763523	5.604463477	7.924541732	5.559930339	7.293334062	9.094150025	6.510836082	8.592781579	9.905379215	6.345901882	7.961648663	10.73702213
47	3.742048156	2.133764457	2.551928009	5.000259022	5.260893253	5.745073386	4.586484039	5.614489292	7.853072794	5.477817002	7.283753736	9.004288481	6.454484272	8.567962633	9.68536348	6.458213176	7.840831336	10.60873718
48	3.731729185	2.125883325	2.538755843	4.931931526	5.178975223	5.716189095	4.653482413	5.611837964	7.863083173	5.51222815	7.203247036	9.040033518	6.50486293	8.319601695	9.593297614	6.366158137	7.570743449	10.29494036
49	3.74588757	2.123901113	2.595294102	4.857975027	5.134931475	5.577382909	4.699841406	5.456943277	7.576169366	5.398830277	7.031878549	8.834620091	6.4868536	8.312344892	9.460766586	6.287876714	7.647244634	10.10237093
50	3.637353898	2.123435472	2.605704499	4.923346171	5.132852017	5.542879138	4.7830993	5.31406154	7.411149695	5.389286942	6.837544808	8.807680909	6.522373525	8.123169028	9.219737637	6.394580146	7.509046337	10.06245796
51	3.639458509	2.104987487	2.558809553	4.939673383	5.144504196	5.462457225	4.893014686	5.265682078	7.283068754	5.426410283	6.762215868	8.781940659	6.517437469	8.057124528	8.97373767	6.341756724	7.557404192	10.00873568
52	3.633062047	2.10745002	2.531259983	4.894936365	5.024805852	5.463009095	4.908890115	5.21070495	7.282948901	5.477093055	6.688086259	8.690209298	6.469231924	7.876761695	8.909592248	6.408738969	7.476638113	9.785971784
53	3.627103346	2.11714203	2.474658472	4.848206377	5.010650427	5.344561348	4.753602565	5.14913723	7.249810098	5.450660383	6.65549863	8.502379965	6.352188091	7.792068374	8.836357288	6.377766278	7.402867297	9.542127515
54	3.656845685	2.108861174	2.383066998	4.901390503	5.074858875	5.208032999	4.791974588	5.124505011	7.198843333	5.364072524	6.520186068	8.449170545	6.162383072	7.673821342	8.76257518	6.289428725	7.290254688	9.314026242
55	3.562974456	2.107634296	2.358158452	4.877478182	5.019416656	5.064676842	4.734459088	5.047299139	7.155518311	5.50017579	6.399448428	8.31049355	6.134267498	7.525846929	8.517231336	6.225589721	7.037192731	9.205494264
56	3.593940167	2.118673818	2.17485976	4.770273514	5.058244905	5.0705652	4.817915884	5.03074273	7.121482105	5.444690058	6.376476089	8.181793086	6.121362963	7.439160684	8.445404042	6.22846941	6.888289184	9.260366051
57	3.5566448	2.11938539	2.003132277	4.774905623	5.034565883	5.095184256	4.894236792	5.082218436	6.995544546	5.462468591	6.288880275	8.210462909	6.161374934	7.308866997	8.358718152	6.158272123	6.727746701	9.144001509
