iter	d2	d5	d10	d15	d20	d25
1	20.48815953	14.25779745	22.07274592	56.51704305	47.22826276	66.97271972
2	19.10443861	13.19138141	15.06119462	14.17879655	36.48193243	54.92039002
3	9.716150257	10.24065817	14.53350884	14.31586856	48.8409823	54.96032533
4	8.113134808	9.953545503	13.71790392	13.52061175	13.56513366	53.47616368
5	5.677973578	8.707626381	13.66510186	16.24140821	12.41188829	48.24008843
6	5.240532022	7.80744636	13.15836503	14.40903257	12.37679461	48.70133829
7	5.315952122	8.579722266	13.55221228	13.22054187	11.27360405	33.75881071
8	5.311684983	8.601793519	13.38966864	10.15193489	11.29979873	28.13633895
9	5.285110626	8.851703307	12.07054781	12.43655848	11.3753459	30.02324438
10	5.266106229	8.722660105	11.15225102	12.80400117	11.3627167	11.13285276
11	5.265829516	8.643208168	11.81544479	11.73406812	11.08039632	10.73753633
12	5.62203926	8.256714807	11.76332809	9.814282798	12.10852426	11.34277201
13	5.622472735	8.000143825	10.76786506	10.05197437	11.6077852	12.46978143
14	5.625547487	6.459444672	11.55971912	9.750932378	12.36620384	12.1014592
15	5.629180588	6.561295812	10.95957332	11.44232444	12.0167943	12.15396254
16	5.612082506	6.623962515	10.07884008	11.10288482	12.52410265	10.96765126
17	5.614404732	6.558249886	10.55942207	10.72413115	11.56900436	12.18264905
18	5.61532309	6.563372083	10.54805522	11.21609866	11.97768242	12.80687263
19	5.418720805	6.593240648	10.53649288	10.4624043	13.40516122	13.65675275
20	5.42537635	6.578710669	9.036889814	10.16336068	12.1235788	13.74499461
21	5.357287369	6.550389344	8.720978634	10.06707588	12.60649459	13.38894792
22	5.35679642	6.541529815	8.610581896	10.1194304	12.64612056	13.11106109
23	5.354680535	6.573148923	7.604838155	9.468098234	12.21781284	13.14337164
24	4.938303544	6.647229762	8.432663332	9.727965891	13.08553516	13.44912114
25	4.928235903	7.013360362	8.151754233	9.877253315	15.98916486	12.50858926
26	4.922733053	6.548061898	8.153862277	10.65500154	15.92275712	12.46156739
27	4.923140115	6.509911401	7.351857673	10.21381135	14.34057868	11.56770956
