X,Y
0.000000000000000000e+00,0.000000000000000000e+00
1.256281407035176006e-04,2.632915790191773242e-01
2.512562814070352013e-04,2.897188128101805260e-01
3.768844221105528019e-04,3.077855309156318775e-01
5.025125628140704025e-04,3.220300605350099876e-01
6.281407035175880574e-04,3.340176301140729831e-01
7.537688442211056038e-04,3.444927500461678060e-01
8.793969849246231502e-04,3.538734588197331998e-01
1.005025125628140805e-03,3.624201201369183223e-01
1.130653266331658460e-03,3.703069128290508161e-01
1.256281407035176115e-03,3.776566390376980831e-01
1.381909547738693553e-03,3.845594344643015194e-01
1.507537688442211208e-03,3.910836010592411705e-01
1.633165829145728862e-03,3.972822534773054470e-01
1.758793969849246300e-03,4.031975918621035770e-01
1.884422110552763955e-03,4.088637562058887731e-01
2.010050251256281610e-03,4.143087955131360967e-01
2.135678391959799048e-03,4.195560639864145402e-01
2.261306532663316920e-03,4.246252345773659509e-01
2.386934673366834358e-03,4.295330500292880993e-01
2.512562814070352230e-03,4.342938895325000326e-01
2.638190954773869668e-03,4.389202031490092581e-01
2.763819095477387106e-03,4.434228496456938950e-01
2.889447236180904977e-03,4.478113625970549516e-01
3.015075376884422415e-03,4.520941624240331635e-01
3.140703517587939853e-03,4.562787271340845718e-01
3.266331658291457725e-03,4.603717311267067624e-01
3.391959798994975163e-03,4.643791590289445548e-01
3.517587939698492601e-03,4.683063998062751976e-01
3.643216080402010473e-03,4.721583251454116170e-01
3.768844221105527911e-03,4.759393551866232808e-01
3.894472361809045782e-03,4.796535139989588359e-01
4.020100502512563220e-03,4.833044766767171097e-01
4.145728643216080658e-03,4.868956095438557452e-01
4.271356783919598096e-03,4.904300046523773493e-01
4.396984924623116402e-03,4.939105095279006652e-01
4.522613065326633840e-03,4.973397529338060008e-01
4.648241206030151278e-03,5.007201672822904071e-01
4.773869346733668716e-03,5.040540082072596517e-01
4.899497487437186154e-03,5.073433717234889784e-01
5.025125628140704459e-03,5.105902093237985051e-01
5.150753768844221897e-03,5.137963413072402785e-01
5.276381909547739335e-03,5.169634685835586829e-01
5.402010050251256773e-03,5.200931831601652844e-01
5.527638190954774211e-03,5.231869774858211031e-01
5.653266331658291649e-03,5.262462527987664673e-01
5.778894472361809954e-03,5.292723266050912700e-01
5.904522613065327392e-03,5.322664393948675077e-01
6.030150753768844830e-03,5.352297606882711056e-01
6.155778894472362268e-03,5.381633944910761969e-01
6.281407035175879706e-03,5.410683842280783473e-01
6.407035175879398012e-03,5.439457172138318919e-01
6.532663316582915450e-03,5.467963287123058791e-01
6.658291457286432888e-03,5.496211056304250997e-01
6.783919597989950326e-03,5.524208898847915439e-01
6.909547738693467764e-03,5.551964814760139699e-01
7.035175879396985202e-03,5.579486413008901691e-01
7.160804020100503507e-03,5.606780937290700706e-01
7.286432160804020945e-03,5.633855289677112133e-01
7.412060301507538383e-03,5.660716052349186178e-01
7.537688442211055821e-03,5.687369507604100871e-01
7.663316582914573259e-03,5.713821656297901619e-01
7.788944723618091565e-03,5.740078234870202856e-01
7.914572864321609003e-03,5.766144731080975472e-01
8.040201005025126441e-03,5.792026398575745860e-01
8.165829145728643879e-03,5.817728270383372147e-01
8.291457286432161317e-03,5.843255171439832862e-01
8.417085427135678755e-03,5.868611730221993117e-01
8.542713567839196193e-03,5.893802389566957789e-01
8.668341708542713631e-03,5.918831416745133911e-01
8.793969849246232803e-03,5.943702912848580766e-01
8.919597989949750241e-03,5.968420821550273203e-01
9.045226130653267679e-03,5.992988937284724482e-01
9.170854271356785117e-03,6.017410912895695407e-01
9.296482412060302555e-03,6.041690266792518749e-01
9.422110552763819993e-03,6.065830389652839827e-01
9.547738693467337431e-03,6.089834550706187954e-01
9.673366834170854869e-03,6.113705903629752525e-01
9.798994974874372307e-03,6.137447492085043033e-01
9.924623115577889745e-03,6.161062254921608750e-01
1.005025125628140892e-02,6.184553031071821083e-01
1.017587939698492636e-02,6.207922564158691037e-01
1.030150753768844379e-02,6.231173506836864551e-01
1.042713567839196123e-02,6.254308424885346440e-01
1.055276381909547867e-02,6.277329801068934900e-01
1.067839195979899611e-02,6.300240038784068464e-01
1.080402010050251355e-02,6.323041465503506098e-01
1.092964824120603098e-02,6.345736336033139802e-01
1.105527638190954842e-02,6.368326835593259849e-01
1.118090452261306586e-02,6.390815082735584740e-01
1.130653266331658330e-02,6.413203132106588544e-01
1.143216080402010247e-02,6.435492977066826770e-01
1.155778894472361991e-02,6.457686552175279093e-01
1.168341708542713735e-02,6.479785735547045622e-01
1.180904522613065478e-02,6.501792351092146038e-01
1.193467336683417222e-02,6.523708170642631421e-01
1.206030150753768966e-02,6.545534915974693391e-01
1.218592964824120710e-02,6.567274260731986724e-01
1.231155778894472454e-02,6.588927832255964123e-01
1.243718592964824197e-02,6.610497213328643262e-01
1.256281407035175941e-02,6.631983943832792106e-01
1.268844221105527685e-02,6.653389522334295370e-01
1.281407035175879602e-02,6.674715407591023109e-01
1.293969849246231346e-02,6.695963019992343668e-01
1.306532663316583090e-02,6.717133742933102392e-01
1.319095477386934834e-02,6.738228924125642116e-01
1.331658291457286578e-02,6.759249876853230532e-01
1.344221105527638321e-02,6.780197881168048557e-01
1.356783919597990065e-02,6.801074185036658504e-01
1.369346733668341809e-02,6.821880005435765337e-01
1.381909547738693553e-02,6.842616529400820102e-01
1.394472361809045297e-02,6.863284915029926880e-01
1.407035175879397040e-02,6.883886292445351440e-01
1.419597989949748958e-02,6.904421764714765430e-01
1.432160804020100701e-02,6.924892408734272253e-01
1.444723618090452445e-02,6.945299276075113104e-01
1.457286432160804189e-02,6.965643393795838412e-01
1.469849246231155933e-02,6.985925765221678851e-01
1.482412060301507677e-02,7.006147370692646925e-01
1.494974874371859420e-02,7.026309168281951179e-01
1.507537688442211164e-02,7.046412094486076416e-01
1.520100502512562908e-02,7.066457064887909922e-01
1.532663316582914652e-02,7.086444974794190443e-01
1.545226130653266569e-02,7.106376699848422351e-01
1.557788944723618313e-02,7.126253096620469574e-01
1.570351758793970057e-02,7.146075003173827378e-01
1.582914572864321801e-02,7.165843239611624504e-01
1.595477386934673544e-02,7.185558608602323760e-01
1.608040201005025288e-02,7.205221895885990380e-01
1.620603015075377032e-02,7.224833870762045196e-01
1.633165829145728776e-02,7.244395286559269787e-01
1.645728643216080520e-02,7.263906881088872947e-01
1.658291457286432263e-02,7.283369377081340135e-01
1.670854271356784007e-02,7.302783482607776433e-01
1.683417085427135751e-02,7.322149891486371409e-01
1.695979899497487495e-02,7.341469283674685320e-01
1.708542713567839239e-02,7.360742325648271800e-01
1.721105527638190982e-02,7.379969670766282075e-01
1.733668341708542726e-02,7.399151959624540309e-01
1.746231155778894817e-02,7.418289820396617440e-01
1.758793969849246561e-02,7.437383869163437522e-01
1.771356783919598304e-02,7.456434710231804042e-01
1.783919597989950048e-02,7.475442936442371344e-01
1.796482412060301792e-02,7.494409129467426434e-01
1.809045226130653536e-02,7.513333860098920791e-01
1.821608040201005280e-02,7.532217688527124144e-01
1.834170854271357023e-02,7.551061164610262111e-01
1.846733668341708767e-02,7.569864828135515200e-01
1.859296482412060511e-02,7.588629209071678927e-01
1.871859296482412255e-02,7.607354827813812559e-01
1.884422110552763999e-02,7.626042195420229541e-01
1.896984924623115742e-02,7.644691813842038330e-01
1.909547738693467486e-02,7.663304176145582236e-01
1.922110552763819230e-02,7.681879766728019199e-01
1.934673366834170974e-02,7.700419061526284636e-01
1.947236180904522718e-02,7.718922528219711587e-01
1.959798994974874461e-02,7.737390626426502438e-01
1.972361809045226205e-02,7.755823807894313138e-01
1.984924623115577949e-02,7.774222516685154183e-01
1.997487437185929693e-02,7.792587189354772681e-01
2.010050251256281784e-02,7.810918255126794163e-01
2.022613065326633527e-02,7.829216136061717402e-01
2.035175879396985271e-02,7.847481247221024248e-01
2.047738693467337015e-02,7.865713996826521059e-01
2.060301507537688759e-02,7.883914786415101572e-01
2.072864321608040503e-02,7.902084010989099960e-01
2.085427135678392246e-02,7.920222059162350670e-01
2.097989949748743990e-02,7.938329313302144863e-01
2.110552763819095734e-02,7.956406149667193395e-01
2.123115577889447478e-02,7.974452938541737312e-01
2.135678391959799222e-02,7.992470044365943549e-01
2.148241206030150965e-02,8.010457825862716819e-01
2.160804020100502709e-02,8.028416636161007647e-01
2.173366834170854453e-02,8.046346822915791952e-01
2.185929648241206197e-02,8.064248728424783241e-01
2.198492462311557941e-02,8.082122689741989552e-01
2.211055276381909684e-02,8.099969038788265019e-01
2.223618090452261428e-02,8.117788102458879385e-01
2.236180904522613172e-02,8.135580202728265320e-01
2.248743718592964916e-02,8.153345656751994630e-01
2.261306532663316660e-02,8.171084776966081042e-01
2.273869346733668403e-02,8.188797871183727262e-01
2.286432160804020494e-02,8.206485242689511850e-01
2.298994974874372238e-02,8.224147190331206891e-01
