iter	d2	d5	d10	d15	d20	d25
1	9.503590681	4.723154082	2.909448845	1.84901452	1.567892698	1.429917537
2	9.152218599	4.233807972	2.948106434	1.725198938	1.585766259	1.407563909
3	8.433295266	4.291557009	3.025649674	1.742050167	1.665705917	1.459005454
4	8.059564365	4.277805704	2.983900756	1.813859306	1.717921654	1.512785778
5	7.734831753	4.306957757	2.926178986	1.860503589	1.765869526	1.570181688
6	7.245200833	4.4102699	2.855645519	1.966517425	1.767722005	1.56750127
7	6.992236405	4.182407067	2.848867241	1.985659581	1.811614283	1.582690224
8	6.826855878	4.398574342	2.877205796	2.017350194	1.79912195	1.588497231
9	6.652042564	4.446835052	2.834236392	2.013931305	1.799838431	1.586777008
10	6.566288658	4.386346754	2.790645158	2.01073504	1.816372415	1.573022983
11	6.501438904	4.508391799	2.728639917	2.030541343	1.811671886	1.581460743
12	6.468642384	4.412759293	2.627200198	2.041751155	1.813749812	1.589271689
13	6.412725289	4.283557733	2.55348174	2.023754968	1.810778004	1.563810213
14	6.390631126	4.207574662	2.517418819	2.058294606	1.827843922	1.559188141
15	6.349878017	4.151996759	2.484320533	2.056496671	1.798743157	1.536730462
16	6.316413901	4.140464101	2.425085719	2.00254588	1.796916889	1.522087336
17	6.288384932	4.15820096	2.259837677	1.982446408	1.799357504	1.536322593
18	6.266346816	4.074015232	2.231245878	1.960518018	1.752204726	1.532310236
19	6.24305309	4.053152647	2.239080301	1.95676543	1.71581911	1.551897992
20	6.229447292	3.990542513	2.211705537	1.957083407	1.734669696	1.538674701
21	6.208853449	3.963832471	2.243547235	1.950915797	1.736472076	1.524864014
22	6.198505835	3.970701434	2.241292116	2.0054556	1.711290382	1.511632176
23	6.157600069	4.110325563	2.238464911	1.970616041	1.688166084	1.507274598
24	6.099486362	4.079097758	2.262395947	1.951463763	1.739046675	1.474787929
25	6.087185791	4.150668205	2.250908614	1.983883716	1.709608492	1.471654331
26	6.066848356	4.141888379	2.22830288	1.948971273	1.642364223	1.476754977
27	5.998296255	4.108236969	2.200650773	1.929850181	1.633009542	1.455830847
28	5.846295001	4.104658316	2.192114497	1.901769327	1.591636207	1.476896114
29	5.824165293	4.102682892	2.197157669	1.919963174	1.61085507	1.460436855
30	5.818330754	4.096738492	2.17813382	1.959145579	1.606785372	1.483753434
31	5.809308203	4.103687686	2.170827399	1.940880344	1.608933495	1.483446824
32	5.799639962	4.044294991	2.179361847	1.922300446	1.602627398	1.486747465
33	5.650869316	3.977930325	2.168217379	1.917236846	1.595677655	1.491354549
34	5.645188214	3.949505804	2.181800151	1.902715866	1.558797124	1.502478397
35	5.636708588	3.890520315	2.163175836	1.90798915	1.560621134	1.504192289
36	5.632760088	3.883955209	2.176765612	1.918465637	1.544563978	1.48647163
37	5.630525872	3.879794571	2.167406762	1.941102355	1.566002658	1.498618414
38	5.618647862	3.718382163	2.158988713	1.918766245	1.567100784	1.482523085
39	5.612726117	3.707017458	2.169872139	1.910869118	1.563426943	1.478718528
40	5.602698668	3.724988683	2.14451498	1.907353484	1.546275917	1.486320028
41	5.595989854	3.718007296	2.154318835	1.933092197	1.526305881	1.4698506
42	5.588986695	3.699508938	2.162029776	1.934626344	1.52209287	1.465994003
43	5.580558193	3.694147769	2.165226977	1.929959896	1.52437754	1.461787625
44	5.575061925	3.682664782	2.171097436	1.923515822	1.550494696	1.486542913
45	5.569633884	3.671977793	2.169657796	1.904930938	1.528448275	1.480842293
46	5.564481641	3.697898779	2.184797854	1.908761322	1.519738212	1.485540344
47	5.557983743	3.690526565	2.175307216	1.883033448	1.51445277	1.484043569
